season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2013.0,REG,ARI,1.0,00-0028007,TE,Rob Housler,Rob,Housler,Ankle,,Out,Ankle,,Did Not Participate In Practice,2013-09-06T13:18:37.000000+0000
2013.0,REG,ARI,1.0,00-0026190,DE,Calais Campbell,Calais,Campbell,Quadricep,,Questionable,Quadricep,,Did Not Participate In Practice,2013-09-06T13:18:54.000000+0000
2013.0,REG,ARI,1.0,00-0027660,CB,Javier Arenas,Javier,Arenas,Hip,,Probable,Hip,,Full Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ARI,1.0,00-0030287,RB,Andre Ellington,Andre,Ellington,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ARI,1.0,00-0030291,TE,D.C. Jefferson,D.C.,Jefferson,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ARI,1.0,00-0019435,LS,Mike Leach,Mike,Leach,Hamstring,,Probable,Hamstring,,Full Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ARI,1.0,00-0026163,RB,Rashard Mendenhall,Rashard,Mendenhall,Knee,,Probable,Knee,,Full Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ARI,1.0,00-0027877,DT,Dan Williams,Dan,Williams,Ankle,,Probable,Ankle,,Full Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ARI,1.0,00-0027691,WR,Andre Roberts,Andre,Roberts,Quadricep,,Probable,Quadricep,,Limited Participation in Practice,2013-09-06T13:18:29.000000+0000
2013.0,REG,ATL,1.0,00-0025496,LB,Stephen Nicholas,Stephen,Nicholas,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2013-09-06T10:31:47.000000+0000
2013.0,REG,ATL,1.0,00-0021956,CB,Asante Samuel,Asante,Samuel,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2013-09-06T10:31:53.000000+0000
2013.0,REG,ATL,1.0,00-0023462,WR,Roddy White,Roddy,White,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2013-09-06T10:32:00.000000+0000
2013.0,REG,ATL,1.0,00-0020578,K,Matt Bryant,Matt,Bryant,Back,,Probable,Back,,Full Participation in Practice,2013-09-06T10:31:38.000000+0000
2013.0,REG,ATL,1.0,00-0027717,C,Joe Hawley,Joe,Hawley,Illness,,Probable,Illness,,Full Participation in Practice,2013-09-06T10:31:38.000000+0000
2013.0,REG,BAL,1.0,00-0027714,TE,Dennis Pitta,Dennis,Pitta,,,,Hip,,Out (Definitely Will Not Play),2013-09-03T12:16:30.000000+0000
2013.0,REG,BAL,1.0,00-0027756,DT,Arthur Jones,Arthur,Jones,Illness,,Out,Illness,,Out (Definitely Will Not Play),2013-09-04T13:19:30.000000+0000
2013.0,REG,BAL,1.0,00-0029895,C,Ryan Jensen,Ryan,Jensen,Foot,,Doubtful,Foot,,Did Not Participate In Practice,2013-09-04T13:19:21.000000+0000
