penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id,week
00-0026224,H.Douglas,Unnecessary Roughness,15.0,2.0,10.0,26.0,3.0,262.0,-1.573379247682169,-0.0017704153433442116,ATL,2011_01_ATL_CHI,1
00-0027939,C.Newton,Unsportsmanlike Conduct,15.0,2.0,1.0,1.0,3.0,354.0,0.907753104402218,0.05260900588263362,CAR,2011_01_CAR_ARI,1
,,Unsportsmanlike Conduct,8.0,3.0,24.0,84.0,1.0,405.0,-1.482283998047933,-0.02632737159729004,CLE,2011_01_CIN_CLE,1
00-0027653,T.Ward,Unnecessary Roughness,15.0,1.0,10.0,71.0,1.0,54.0,0.7388877794146538,0.03218334913253784,CIN,2011_01_CIN_CLE,1
00-0027942,A.Green,Offensive Pass Interference,10.0,1.0,10.0,79.0,2.0,249.0,-0.6791881574317813,-0.033549338579177856,CIN,2011_01_CIN_CLE,1
00-0022127,J.Witten,Offensive Pass Interference,10.0,1.0,10.0,80.0,4.0,27.0,-0.14858181224553846,-0.06700321659445763,DAL,2011_01_DAL_NYJ,1
00-0026160,A.Talib,Unsportsmanlike Conduct,15.0,3.0,3.0,73.0,1.0,357.0,-6.826086004730314,-0.1677407793379665,DET,2011_01_DET_TB,1
00-0022808,S.Peterman,Unnecessary Roughness,15.0,1.0,10.0,44.0,2.0,545.0,-1.3087910804897547,-0.07288163900375366,DET,2011_01_DET_TB,1
00-0027855,N.Suh,Unsportsmanlike Conduct,13.0,3.0,2.0,26.0,2.0,9.0,0.7164664895099122,0.010302156209945679,TB,2011_01_DET_TB,1
00-0026157,G.Cherilus,Unnecessary Roughness,15.0,3.0,6.0,36.0,4.0,84.0,-1.1131130391731858,-0.009501755237579346,DET,2011_01_DET_TB,1
00-0026408,J.Reitz,Face Mask,15.0,1.0,10.0,50.0,1.0,12.0,-1.3836200304795057,-0.021090686321258545,IND,2011_01_IND_HOU,1
00-0003292,K.Collins,Intentional Grounding,20.0,3.0,14.0,49.0,3.0,347.0,-2.0318281955551356,0.000036779441870749,IND,2011_01_IND_HOU,1
00-0024263,C.Griffin,Unnecessary Roughness,15.0,1.0,10.0,64.0,4.0,491.0,1.5538848163560033,0.07569527626037598,LAC,2011_01_MIN_SD,1
00-0018227,C.Woodson,Unnecessary Roughness,15.0,1.0,10.0,36.0,3.0,322.0,1.293984430609271,0.034796565771102905,NO,2011_01_NO_GB,1
00-0022803,E.Manning,Intentional Grounding,10.0,1.0,10.0,48.0,1.0,193.0,-1.4690874181687832,-0.021387219429016113,NYG,2011_01_NYG_WAS,1
00-0023443,A.Rolle,Unnecessary Roughness,15.0,3.0,9.0,55.0,4.0,498.0,2.463304159231484,0.047169268131256104,WAS,2011_01_NYG_WAS,1
00-0026432,L.Ball,Unnecessary Roughness,15.0,4.0,4.0,92.0,2.0,402.0,1.0679924458963796,0.04834833741188049,LV,2011_01_OAK_DEN,1
00-0026533,D.Bryant,Unnecessary Roughness,15.0,1.0,10.0,64.0,2.0,300.0,1.6383425709209405,0.03651949763298035,DEN,2011_01_OAK_DEN,1
00-0026994,R.Ayers,Unnecessary Roughness,8.0,2.0,6.0,20.0,2.0,119.0,1.3144537229673006,0.015468358993530273,LV,2011_01_OAK_DEN,1
00-0023648,K.Vickerson,Face Mask,15.0,1.0,10.0,76.0,2.0,24.0,0.31975514322402887,0.02146124839782715,LV,2011_01_OAK_DEN,1
00-0027904,R.McClain,Unnecessary Roughness,15.0,2.0,1.0,62.0,3.0,337.0,0.7867559881415218,0.023099690675735474,DEN,2011_01_OAK_DEN,1
00-0021891,I.Taylor,Unsportsmanlike Conduct,14.0,3.0,1.0,75.0,3.0,57.0,1.1104826224036515,-1.5497207641601562e-6,BAL,2011_01_PIT_BAL,1
00-0021998,C.Redding,Unnecessary Roughness,15.0,1.0,10.0,26.0,4.0,697.0,0.35751043586060405,-0.001266305218450725,PIT,2011_01_PIT_BAL,1
00-0022084,A.Boldin,Offensive Pass Interference,10.0,1.0,9.0,9.0,4.0,241.0,-1.1667394035612233,-0.000043392181396484375,BAL,2011_01_PIT_BAL,1
00-0027783,A.McCoy,Offensive Pass Interference,10.0,1.0,10.0,42.0,1.0,708.0,-0.9218255237210542,-0.011423736810684204,SEA,2011_01_SEA_SF,1
00-0024389,D.Walker,Unnecessary Roughness,15.0,,0.0,35.0,2.0,12.0,0.2426580390892923,0.015412434935569763,SEA,2011_01_SEA_SF,1
00-0026502,R.Jean Francois,Unnecessary Roughness,15.0,1.0,10.0,85.0,3.0,287.0,1.0146127957850695,0.014787256717681885,SEA,2011_01_SEA_SF,1
00-0022842,M.Williams,Unnecessary Roughness,15.0,2.0,7.0,32.0,3.0,87.0,1.3460938674397767,0.05858352780342102,SEA,2011_01_SEA_SF,1
00-0021679,S.Smith,Unnecessary Roughness,15.0,1.0,10.0,52.0,3.0,490.0,0.941145809716545,0.007406115531921387,JAX,2011_01_TEN_JAX,1
00-0023557,K.Rhodes,Unnecessary Roughness,10.0,3.0,5.0,20.0,1.0,663.0,1.223331593675539,0.0513768196105957,WAS,2011_02_ARI_WAS,2
00-0024369,J.King,Face Mask,15.0,4.0,14.0,75.0,2.0,111.0,-2.7453781951917335,-0.05112859606742859,ARI,2011_02_ARI_WAS,2
00-0025423,K.Kolb,Intentional Grounding,15.0,2.0,10.0,82.0,3.0,47.0,-2.0521412065718323,-0.06241941452026367,ARI,2011_02_ARI_WAS,2
00-0025406,M.Griffin,Unnecessary Roughness,15.0,2.0,7.0,80.0,1.0,216.0,1.3714105100370944,0.03751260042190552,BAL,2011_02_BAL_TEN,2
00-0021377,E.Reed,Face Mask,14.0,1.0,10.0,44.0,1.0,122.0,1.839310253621079,0.06287366151809692,TEN,2011_02_BAL_TEN,2
00-0027868,D.Morgan,Unnecessary Roughness,15.0,1.0,10.0,30.0,2.0,29.0,0.4625231555546634,0.001699984073638916,BAL,2011_02_BAL_TEN,2
00-0024226,J.Cutler,Intentional Grounding,12.0,1.0,10.0,12.0,1.0,553.0,-1.5665827300399542,-0.05171936750411987,CHI,2011_02_CHI_NO,2
00-0028224,C.Harris,Unsportsmanlike Conduct,4.0,4.0,9.0,92.0,4.0,355.0,-0.23293120344169438,-0.01563429832458496,DEN,2011_02_CIN_DEN,2
00-0026780,K.Ogletree,Face Mask,15.0,2.0,7.0,59.0,3.0,709.0,1.8247833016794175,0.01587185263633728,DAL,2011_02_DAL_SF,2
00-0025559,L.Naanee,Offensive Pass Interference,10.0,2.0,10.0,41.0,2.0,31.0,-1.035927225719206,-0.027903378009796143,CAR,2011_02_GB_CAR,2
00-0022839,D.Smith,Unnecessary Roughness,15.0,1.0,10.0,80.0,2.0,667.0,1.2056139865890145,0.058965325355529785,NYJ,2011_02_JAX_NYJ,2
00-0022000,W.Hunter,Face Mask,15.0,1.0,10.0,50.0,2.0,578.0,-1.2578282108297572,-0.01947307586669922,NYJ,2011_02_JAX_NYJ,2
00-0026253,D.Lowery,Unnecessary Roughness,15.0,3.0,4.0,49.0,3.0,413.0,2.1898239699658006,0.018183648586273193,NYJ,2011_02_JAX_NYJ,2
00-0026280,B.Carr,Unnecessary Roughness,15.0,1.0,10.0,56.0,1.0,693.0,1.5051331755239516,0.053505122661590576,DET,2011_02_KC_DET,2
00-0026145,G.Dorsey,Unnecessary Roughness,0.0,2.0,4.0,4.0,4.0,723.0,0.8933359052170999,0.000010609626770019531,DET,2011_02_KC_DET,2
00-0026240,T.Branch,Unnecessary Roughness,15.0,2.0,2.0,72.0,2.0,78.0,0.7010877449065447,0.018563106656074524,BUF,2011_02_OAK_BUF,2
,,Unsportsmanlike Conduct,15.0,1.0,1.0,1.0,4.0,855.0,0.6695473633008078,0.00731744714673721,BUF,2011_02_OAK_BUF,2
00-0027871,S.Weatherspoon,Face Mask,15.0,2.0,1.0,42.0,2.0,230.0,1.3448413633159362,0.03601020574569702,PHI,2011_02_PHI_ATL,2
00-0022735,D.Robinson,Unnecessary Roughness,15.0,1.0,10.0,77.0,3.0,401.0,2.069948094896972,0.06498193740844727,PHI,2011_02_PHI_ATL,2
00-0025424,E.Weddle,Unnecessary Roughness,15.0,1.0,10.0,10.0,2.0,172.0,2.386190045683179,0.025807023198534784,NE,2011_02_SD_NE,2
00-0025560,M.Coe,Unsportsmanlike Conduct,15.0,4.0,4.0,59.0,2.0,284.0,-1.9895850504981354,-0.08881428837776184,NYG,2011_02_STL_NYG,2
00-0021197,B.Leber,Face Mask,15.0,1.0,10.0,67.0,3.0,594.0,1.3790753229986876,0.011019766330718994,NYG,2011_02_STL_NYG,2
00-0025503,Z.DeOssie,Unnecessary Roughness,15.0,4.0,4.0,53.0,4.0,452.0,-0.4995058663189411,0.006715148687362671,NYG,2011_02_STL_NYG,2
00-0026993,J.Freeman,Illegal Forward Pass,5.0,2.0,9.0,9.0,2.0,169.0,-0.874672306352295,-0.01532810926437378,TB,2011_03_ATL_TB,3
00-0027031,W.Moore,Unnecessary Roughness,15.0,3.0,4.0,64.0,3.0,767.0,2.034308675909415,0.01277005672454834,TB,2011_03_ATL_TB,3
00-0027654,A.Benn,Face Mask,15.0,2.0,5.0,69.0,4.0,550.0,-1.1034406377002597,-0.005303740501403809,TB,2011_03_ATL_TB,3
00-0026979,J.Smith,Unnecessary Roughness,15.0,2.0,8.0,23.0,2.0,446.0,-0.011449159646872431,-0.003544524312019348,LA,2011_03_BAL_STL,3
00-0027041,B.Fletcher,Face Mask,11.0,3.0,1.0,75.0,2.0,267.0,4.372296130983159,0.030766427516937256,BAL,2011_03_BAL_STL,3
00-0026979,J.Smith,Face Mask,15.0,1.0,10.0,45.0,4.0,802.0,-1.234137812629342,-0.0008204667828977108,LA,2011_03_BAL_STL,3
00-0021679,S.Smith,Face Mask,15.0,1.0,10.0,34.0,3.0,267.0,1.4583611288107932,0.03935471177101135,DEN,2011_03_DEN_TEN,3
00-0026340,J.Mays,Face Mask,15.0,1.0,10.0,88.0,4.0,733.0,1.171244838507846,0.03075435757637024,TEN,2011_03_DEN_TEN,3
00-0028625,R.Donahue,Face Mask,13.0,4.0,16.0,72.0,2.0,69.0,-4.155004954256583,-0.01380937546491623,DET,2011_03_DET_MIN,3
00-0025571,J.Wendling,Unnecessary Roughness,12.0,4.0,1.0,71.0,3.0,116.0,0.48101209849119186,0.06074914336204529,MIN,2011_03_DET_MIN,3
00-0026486,K.Onatolu,Unnecessary Roughness,15.0,4.0,27.0,97.0,4.0,21.0,0.05531851202249527,0.029039591550827026,DET,2011_03_DET_MIN,3
