penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0037661,J.Ingram,Unnecessary Roughness,10.0,3.0,13.0,25.0,1.0,588.0,2.377085478277877,0.08827570080757141,ARI,2024_01_ARI_BUF
00-0038548,O.Torrence,Face Mask,15.0,3.0,4.0,4.0,2.0,635.0,-1.520597456721589,-0.031180500984191895,BUF,2024_01_ARI_BUF
00-0036550,R.Bateman,Offensive Pass Interference,10.0,2.0,5.0,52.0,2.0,696.0,-1.2522683369461447,-0.05089142918586731,BAL,2024_01_BAL_KC
00-0031550,S.Thompson,Unnecessary Roughness,15.0,2.0,5.0,69.0,2.0,688.0,1.324563171947375,0.014323532581329346,NO,2024_01_CAR_NO
00-0035242,E.McCoy,Unnecessary Roughness,15.0,1.0,10.0,57.0,3.0,833.0,-1.2974979372229427,-0.00027048587799072266,NO,2024_01_CAR_NO
00-0036926,P.Turner,Unnecessary Roughness,15.0,2.0,9.0,74.0,3.0,461.0,1.7769857835955918,0.00001017749309539795,CAR,2024_01_CAR_NO
00-0036361,T.Diggs,Unnecessary Roughness,15.0,1.0,15.0,69.0,4.0,420.0,1.4969527607318014,2.0822626538574696e-6,CLE,2024_01_DAL_CLE
00-0035640,D.Metcalf,Offensive Pass Interference,10.0,2.0,9.0,61.0,4.0,289.0,-0.9434926578542218,-0.0015209317207336426,SEA,2024_01_DEN_SEA
00-0038386,J.Carter,Unnecessary Roughness,12.0,1.0,10.0,19.0,1.0,646.0,0.44520389096578583,0.015770912170410156,GB,2024_01_GB_PHI
00-0037816,R.Doubs,Offensive Pass Interference,10.0,1.0,3.0,3.0,1.0,238.0,-1.5358219423796982,-0.033123135566711426,GB,2024_01_GB_PHI
00-0030114,J.Poyer,Face Mask,14.0,2.0,3.0,30.0,3.0,169.0,1.2062125425436534,0.021457254886627197,JAX,2024_01_JAX_MIA
00-0039834,K.Kinchens,Unnecessary Roughness,15.0,2.0,5.0,64.0,4.0,120.0,2.138751506281551,0.1453649401664734,DET,2024_01_LA_DET
00-0037307,J.Taylor,Unnecessary Roughness,15.0,1.0,10.0,70.0,3.0,548.0,1.2642957733478397,0.046226561069488525,LV,2024_01_LV_LAC
00-0038807,I.Pace,Unnecessary Roughness,15.0,4.0,1.0,65.0,2.0,61.0,-0.5788396983407438,-0.02241423726081848,MIN,2024_01_MIN_NYG
00-0037611,K.Thibodeaux,Face Mask,15.0,3.0,16.0,76.0,3.0,848.0,3.6293832066003233,0.04911065101623535,MIN,2024_01_MIN_NYG
00-0033131,M.Collins,Unnecessary Roughness,15.0,2.0,5.0,60.0,3.0,378.0,-3.8677098287735134,-0.02846147119998932,NYJ,2024_01_NYJ_SF
00-0037740,G.Wilson,Illegal Touch Pass,0.0,2.0,2.0,14.0,4.0,73.0,-0.4940325951029081,-0.00009948387742042542,NYJ,2024_01_NYJ_SF
00-0037247,G.Pickens,Offensive Pass Interference,10.0,3.0,9.0,54.0,2.0,301.0,-0.8810991095378995,-0.014782130718231201,PIT,2024_01_PIT_ATL
00-0036411,A.Winfield,Unnecessary Roughness,11.0,2.0,10.0,34.0,2.0,509.0,1.949012505239807,0.04611577093601227,WAS,2024_01_WAS_TB
00-0034407,R.McCloud,Unnecessary Roughness,15.0,2.0,10.0,41.0,2.0,130.0,0.6658719701226801,0.03059554100036621,ATL,2024_02_ATL_PHI
00-0027865,B.Graham,Face Mask,3.0,1.0,6.0,6.0,2.0,26.0,0.506330496573355,0.008253216743469238,ATL,2024_02_ATL_PHI
00-0037238,D.London,Unsportsmanlike Conduct,15.0,3.0,5.0,7.0,4.0,38.0,2.907090855005663,0.13578490239042917,ATL,2024_02_ATL_PHI
00-0030114,J.Poyer,Unnecessary Roughness,15.0,2.0,11.0,86.0,2.0,613.0,3.0663111542817205,0.09190654754638672,BUF,2024_02_BUF_MIA
