season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2006,1,ARI,REG,SF,23,37,301,3,0,3,-18,2,1,237,155,17,9.04351045818131,-2.8553403712607706,0,29,84,1,1,0,6,-2.5601047325956903,0,23,0,301,3,0,0,237,155,17,26.04148432755028,0,0,43,6,6,0,0,2,1.0,2.0,6,0,0,6,0,0,0,0,2,3,2,2,0,11,85,2,0,0,5,124,2,2,0,0,36,1.0,0,0,2,0,0,0,0,0,0,0,0,0,36;30,,,66,0,0,4,4,0,0,1.0,0,0,0,0,0
2006,2,ARI,REG,SEA,24,38,231,1,1,5,-40,2,0,283,86,11,-0.27878071164274587,4.767359470998923,0,20,65,0,1,0,4,-2.6684044762287744,0,24,0,231,1,1,1,283,86,11,14.808285654638894,0,0,39,15,15,0,0,0,3.0,26.0,6,2,0,6,0,0,0,0,4,5,0,0,0,11,66,6,4,29,4,102,1,3,2,0,43,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,2,0,43,51;53,,43,104,0,1,1,0,0,1.0,0,0,0,0,0
2006,3,ARI,REG,LA,19,28,256,1,3,1,-10,0,0,241,165,11,-0.42963356254040264,5.602642468043734,0,28,101,1,1,1,9,-2.1519324956752826,0,19,0,256,1,0,0,241,165,11,19.772632716660155,0,0,47,6,6,0,0,2,1.0,8.0,0,0,0,3,0,0,0,0,0,0,2,2,0,5,52,5,0,0,4,84,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2006,4,ARI,REG,ATL,16,28,177,0,2,4,-21,2,1,191,61,8,-13.686592328944243,-15.810535192489624,0,25,31,0,1,1,3,-12.500181460893462,0,16,0,177,0,0,0,191,61,8,15.562302471604198,0,0,47,6,6,0,0,0,2.0,10.0,2,1,99,2,1,0,0,0,1,1,0,0,0,4,19,3,1,22,8,125,1,1,0,0,29,1.0,0,1,0,0,0,0,0,0,0,0,0,0,29,,,29,0,0,1,1,0,0,1.0,0,0,0,0,0
2006,5,ARI,REG,KC,22,35,253,2,1,4,-31,0,0,235,105,12,-0.5913085106553724,1.087238173931837,0,26,76,0,0,0,5,-7.663206831066756,0,22,0,253,2,1,0,235,105,12,17.075321536579967,0,0,50,4,4,0,0,1,3.0,26.0,3,0,0,8,0,0,0,0,1,1,2,2,0,7,50,3,2,21,6,166,2,3,1,0,45,0.6666666666666666,0,0,0,2,0,0,0,0,0,0,1,0,41;45,51,,86,51,0,2,2,0,0,1.0,0,0,0,0,0
2006,6,ARI,REG,CHI,24,42,232,2,0,1,-12,1,1,243,146,12,-3.9034613410287466,-6.688671410083771,0,38,66,0,1,1,4,-22.82828262044336,0,24,0,232,2,0,0,243,146,12,19.955208162253847,0,0,34,5,5,0,0,2,2.0,14.0,5,4,74,11,0,0,0,0,0,0,2,2,0,9,65,4,2,16,4,105,3,5,2,0,41,0.6,0,2,0,1,0,0,0,0,0,1,1,0,41;28;29,52;40,,98,92,0,2,2,0,0,1.0,0,1,1,0,40
2006,7,ARI,REG,LV,13,32,203,0,2,3,-29,0,0,263,103,8,-13.476147033613938,-21.06193708521979,0,20,50,0,1,0,2,-4.85339998334903,0,13,0,203,0,0,0,263,82,8,12.395245139767066,0,0,60,9,9,0,0,3,5.0,21.0,4,2,12,9,0,0,0,0,2,3,3,3,0,4,25,4,0,0,3,44,3,4,1,0,45,0.75,0,1,1,1,0,0,0,0,0,1,0,0,29;45;38,49,,112,49,0,0,0,0,0,,0,0,0,0,0
2006,8,ARI,REG,GB,14,35,157,1,1,4,-25,0,0,225,81,11,-8.175061011279467,-22.154835129485413,0,25,86,1,0,0,7,6.162653995503206,0,14,0,157,1,0,0,225,81,11,14.934782622440252,0,0,41,14,18,0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,0,9,68,2,2,23,5,77,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2006,10,ARI,REG,DAL,20,38,216,0,2,1,-7,1,0,331,52,10,-4.862034239224172,-8.023706037137242,0,21,86,1,1,1,5,-2.5023219466675073,0,20,0,216,0,0,0,331,52,10,16.579846667096717,0,0,50,8,8,0,0,1,0.0,0.0,3,0,0,3,0,0,0,0,1,1,0,0,0,5,35,6,1,4,5,99,1,1,0,0,28,1.0,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,1,1,0,0,1.0,0,0,0,0,0
2006,11,ARI,REG,DET,19,29,233,1,0,0,0,0,0,214,85,11,8.844915292400401,0.1185024606770414,0,30,105,1,1,0,8,-3.315741713420151,0,19,0,233,1,0,0,214,85,11,18.073849241889548,0,0,46,3,3,0,0,0,4.0,35.0,7,1,17,7,0,0,0,0,0,1,0,0,0,4,34,3,1,0,2,43,1,1,0,0,36,1.0,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,2,2,0,0,1.0,0,0,0,0,0
