season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2021,1,ATL,REG,PHI,21,35,164,0,0,3,-28,0,0,179,67,8,-15.975289404987098,-9.304779587369975,0,26,124,0,1,0,8,-1.905627096653916,0,21,33,164,0,0,0,179,67,8,-3.665726048360784,0,0,42,0,36,5,14,0,1.0,3.0,2,0,0,3,0,0,0,0,1,2,0,0,0,12,99,2,2,11,2,29,2,2,0,0,27,1.0,0,2,0,0,0,0,0,0,0,0,0,0,21;27,,,48,0,0,0,0,0,0,,0,0,0,0,0
2021,2,ATL,REG,TB,35,48,300,2,3,1,-7,0,0,186,187,15,-9.130134304093644,4.2111193880121744,0,20,55,1,1,0,3,-9.901439488064963,1,35,48,300,2,0,0,186,187,15,-7.413993247824237,0,0,29,1,29,2,15,2,3.0,17.0,6,0,0,4,0,0,0,0,1,2,1,1,0,6,49,2,2,11,5,86,1,1,0,0,36,1.0,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,2,2,0,0,1.0,0,0,0,0,0
2021,3,ATL,REG,NYG,27,36,243,2,0,3,-16,1,1,148,173,12,5.152402266510762,4.188301331467096,0,20,69,0,0,0,3,-3.202427662619825,0,27,36,243,2,0,0,148,173,12,9.118823347671423,0,0,42,3,19,3,17,2,2.0,20.0,5,0,0,8,0,0,0,0,0,0,1,1,0,4,28,4,3,24,3,50,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1.0,1,1,0,0,40
2021,4,ATL,REG,WAS,25,42,283,4,0,1,-8,0,0,440,89,16,12.27373061528095,-1.8137887120246887,0,28,99,0,0,0,6,-4.894475303241052,0,25,40,283,4,1,0,440,89,16,15.488603775516534,0,0,32,4,32,5,7,0,1.0,0.0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,36,5,2,6,3,78,1,1,0,0,25,1.0,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,3,3,0,0,1.0,0,0,0,0,0
2021,5,ATL,REG,NYJ,33,46,342,2,0,0,0,0,0,354,107,20,20.70833909900745,6.355959309471975,0,29,108,1,1,1,5,-2.2250157445087098,0,33,45,342,2,2,1,354,107,20,16.26182791991511,0,0,35,1,9,4,35,1,2.0,26.0,5,1,11,3,0,0,0,0,0,0,0,0,0,4,66,3,2,19,2,45,2,2,0,0,52,1.0,0,0,1,0,1,0,0,0,0,0,0,0,31;52,,,83,0,0,3,3,0,0,1.0,0,0,0,0,0
2021,7,ATL,REG,MIA,25,40,336,2,1,1,-11,0,0,368,80,15,11.177175974154776,-3.279609825366578,0,22,72,1,1,1,5,-4.760373010998592,0,25,39,336,2,0,0,368,80,15,13.433049926681376,0,0,43,7,33,3,16,0,1.0,10.0,3,2,56,6,0,0,0,0,0,0,0,0,0,3,29,5,1,17,2,43,3,3,0,0,36,1.0,0,0,3,0,0,0,0,0,0,0,0,0,33;36;36,,,105,0,0,3,3,0,0,1.0,1,1,0,0,36
2021,8,ATL,REG,CAR,20,27,146,1,2,3,-15,0,0,194,70,11,-8.301217018251043,5.241757189785992,0,20,82,0,1,0,3,-2.9831340163364075,0,20,27,146,1,0,0,194,70,11,-3.2365419687439836,0,0,43,9,25,3,5,1,0.0,0.0,3,0,0,4,0,0,0,0,1,2,1,1,0,3,15,4,2,21,1,25,2,3,1,0,53,0.6666666666666666,0,0,0,1,1,0,0,0,0,1,0,0,46;53,45,,99,45,0,1,1,0,0,1.0,0,0,0,0,0
2021,9,ATL,REG,NO,23,30,343,2,0,2,-11,0,0,262,150,14,17.32623186627139,14.783300658067068,0,25,34,1,1,0,2,-12.892568333477467,0,23,30,343,2,0,0,262,150,14,19.568625233962354,0,0,45,1,25,2,2,1,1.0,15.0,5,0,0,11,0,0,0,0,2,2,1,1,0,6,76,4,0,0,3,65,2,2,0,0,32,1.0,0,1,1,0,0,0,0,0,0,0,0,0,32;29,,,61,0,0,3,3,0,0,1.0,1,1,0,0,29
2021,10,ATL,REG,DAL,10,27,131,0,3,2,-20,1,0,252,47,8,-22.568340483775394,-27.708621323108673,0,24,103,0,0,0,3,-1.8485513328341767,0,10,27,131,0,0,0,252,47,8,-19.917609288079696,0,0,45,3,33,1,3,1,0.0,0.0,2,0,0,1,0,0,0,0,1,1,1,1,0,6,41,1,3,11,0,0,1,1,0,0,35,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,0,0,0,0,,0,0,0,0,0
2021,11,ATL,REG,NE,20,32,158,0,4,4,-33,0,0,189,62,7,-24.279621911642607,-6.9859806568391845,0,16,40,0,0,0,3,-7.487014045473188,0,20,31,158,0,0,0,189,62,7,-16.990879623335786,0,0,33,5,41,3,22,0,3.0,33.0,5,1,35,1,0,0,0,0,0,0,0,0,0,9,72,3,1,11,6,119,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,,50,,0,50,0,0,0,0,0,,0,0,0,0,0
2021,12,ATL,REG,JAX,19,29,190,1,1,1,-7,0,0,131,124,12,4.8737726308754645,-2.0617247692176273,0,29,149,2,0,0,6,-1.8298551823827438,0,19,28,190,1,0,0,131,124,12,7.287375950894784,0,0,40,6,28,3,8,3,1.0,12.0,6,1,0,5,0,0,0,0,0,0,1,1,0,5,26,2,1,3,4,91,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2021,13,ATL,REG,TB,30,41,297,0,0,5,-38,0,0,253,142,14,-0.6834038085538081,4.758420363068581,0,23,121,1,2,0,8,2.243982437561499,0,30,40,297,0,1,1,253,142,14,7.428650786471447,0,0,33,9,29,0,0,0,0.0,0.0,1,1,3,4,1,1,0,0,4,6,0,0,0,6,39,5,1,7,1,30,1,1,0,0,21,1.0,0,1,0,0,0,0,0,0,0,0,0,0,21,,,21,0,0,2,2,0,0,1.0,0,0,0,0,0
2021,14,ATL,REG,CAR,19,28,190,1,0,0,0,0,0,212,94,10,5.201244819079017,8.379148774676855,0,36,128,1,1,1,9,-4.800813703273889,0,19,27,190,1,0,0,212,94,10,7.111461789795188,0,0,33,5,19,5,21,0,1.0,10.0,4,2,66,7,1,0,0,0,0,0,1,1,0,6,60,2,0,0,1,38,3,3,0,0,48,1.0,0,0,2,1,0,0,0,0,0,0,0,0,32;38;48,,,118,0,0,2,2,0,0,1.0,0,0,0,0,0
2021,15,ATL,REG,SF,19,32,236,1,0,3,-23,1,1,254,57,8,-6.920692366078979,3.5319623847802473,0,23,62,0,0,0,3,-6.570936535281362,0,19,30,236,1,0,0,254,57,8,1.9427720724521027,0,0,35,5,23,1,1,1,0.0,0.0,3,0,0,3,0,0,0,0,0,0,1,1,0,4,29,5,1,23,4,103,2,2,0,0,48,1.0,0,1,0,1,0,0,0,0,0,0,0,0,48;22,,,70,0,0,1,1,0,0,1.0,0,0,0,0,0
2021,16,ATL,REG,DET,18,24,215,1,0,3,-8,0,0,179,76,10,8.473386036256269,9.006221456961198,0,18,47,1,0,0,4,-1.9825095306150615,0,18,22,215,1,1,1,179,76,10,11.86331877822522,0,0,34,10,36,2,5,0,0.0,0.0,2,1,6,4,0,0,0,0,0,0,0,0,0,2,15,1,1,13,3,79,2,2,0,0,53,1.0,0,0,0,1,1,0,0,0,0,0,0,0,53;48,,,101,0,0,2,2,0,0,1.0,0,0,0,0,0
2021,17,ATL,REG,BUF,13,23,197,0,0,5,-28,1,1,201,144,9,-9.711948756549337,-0.3589223325252533,0,22,96,1,0,0,9,-1.0200070506543852,0,13,20,197,0,0,0,201,144,9,5.06581773160724,0,0,31,15,29,1,2,1,1.0,2.0,3,3,25,6,0,0,1,0,0,0,0,0,0,4,27,6,0,0,2,25,2,2,0,0,28,1.0,0,2,0,0,0,0,0,0,0,0,0,0,28;24,,,52,0,0,1,1,0,0,1.0,0,0,0,0,0
2021,18,ATL,REG,NO,20,33,216,1,1,3,-21,1,0,341,63,9,-4.4298537734347185,1.120407927420834,0,12,62,1,0,0,3,1.037745516281575,0,20,31,216,1,2,2,341,63,9,-7.813632277480792,0,0,42,7,35,1,1,1,0.0,0.0,0,0,0,2,0,0,0,0,1,1,0,0,0,5,46,2,1,12,4,93,2,2,0,0,54,1.0,0,0,0,1,1,0,0,0,0,0,0,0,48;54,,,102,0,0,2,2,0,0,1.0,0,0,0,0,0
