season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2006,1,BAL,REG,TB,17,27,181,1,0,1,-13,1,0,220,53,9,6.94721365274634,13.871143758296967,0,34,103,1,3,0,8,-5.149408632307313,0,17,0,181,1,0,0,220,53,9,14.428734602450158,0,0,39,5,5,0,0,0,3.0,21.0,9,3,123,13,1,0,0,0,3,4,0,0,0,4,25,3,5,57,1,18,2,2,0,0,42,1.0,0,1,0,1,0,0,0,0,0,0,0,0,20;42,,,62,0,0,3,3,0,0,1.0,0,0,0,0,0
2006,2,BAL,REG,LV,16,33,143,1,1,2,-17,0,0,238,83,9,-14.394217395026459,-10.854882697264356,0,31,138,1,0,0,5,-1.9503379267989658,0,16,0,143,1,0,0,238,83,9,9.645156494909024,0,0,42,9,9,0,0,1,6.0,39.0,8,3,88,9,0,0,1,0,0,0,3,3,0,10,72,3,1,16,4,163,4,4,0,0,37,1.0,0,2,2,0,0,0,0,0,0,0,0,0,25;33;37;23,,,118,0,0,2,2,0,0,1.0,0,0,0,0,0
2006,3,BAL,REG,CLE,23,41,264,1,0,2,-10,0,0,331,65,14,5.254471296415587,9.204485408357673,0,27,86,0,1,0,5,-7.5233378446428105,0,23,0,264,1,0,0,331,65,14,21.38789074924728,0,0,36,10,14,0,0,1,7.0,48.0,19,1,0,6,0,0,0,0,1,1,1,1,0,5,30,2,5,29,0,0,3,3,0,0,52,1.0,0,0,1,1,1,0,0,0,0,0,0,0,32;43;52,,,127,0,0,0,0,0,0,,0,0,0,0,0
2006,4,BAL,REG,LAC,17,30,158,2,2,2,-8,1,0,293,36,11,-2.00938734121155,-3.113083442052207,0,21,56,0,0,0,2,-6.28096331236884,0,17,0,158,2,1,1,293,36,11,12.871088739077095,0,0,41,21,21,0,0,2,1.0,11.0,1,1,24,3,0,0,1,0,1,1,0,0,0,4,30,6,1,17,4,97,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2006,5,BAL,REG,DEN,20,34,165,0,3,2,-11,1,0,195,84,10,-14.693457354748553,-5.3350758464897385,0,25,103,0,0,0,6,0.14231148222461343,0,20,0,165,0,0,0,195,83,10,8.081874092792695,0,0,36,6,18,0,0,2,1.0,0.0,1,1,-8,4,0,0,0,0,1,1,1,1,0,3,15,5,1,14,3,56,1,1,0,0,24,1.0,0,1,0,0,0,0,0,0,0,0,0,0,24,,,24,0,0,0,0,0,0,,0,0,0,0,0
2006,6,BAL,REG,CAR,19,35,230,3,2,3,-18,0,0,365,120,10,-4.27883804414887,-7.44163227431914,0,22,80,0,2,1,7,-1.3511405582539737,0,19,0,230,3,0,0,365,120,10,17.63391625980148,0,0,44,14,14,0,0,1,1.0,9.0,4,2,0,4,0,0,0,0,1,2,1,1,0,5,40,3,2,6,4,90,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2006,8,BAL,REG,NO,17,23,159,2,0,1,-3,0,0,185,47,12,10.31330512627028,21.46275157020206,0,39,137,1,2,1,8,-6.931875936919823,0,17,0,159,2,0,0,185,47,12,16.43860957911238,0,0,37,6,6,0,0,0,2.0,15.0,8,4,40,13,2,0,0,0,1,2,1,1,0,9,69,4,2,11,3,50,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2006,9,BAL,REG,CIN,21,31,245,0,0,0,0,0,0,260,100,13,9.427012720430465,5.690038872176196,0,38,129,1,1,0,9,-11.447494291836392,0,21,0,245,0,0,0,260,100,13,19.434538539906498,0,0,27,11,11,0,0,0,2.0,12.0,3,2,69,7,1,0,0,0,1,2,1,1,0,8,81,1,3,19,4,74,4,4,0,0,43,1.0,0,1,2,1,0,0,0,0,0,0,0,0,43;25;36;35,,,139,0,0,2,2,0,0,1.0,0,0,0,0,0
2006,10,BAL,REG,TEN,29,47,373,3,2,1,-2,0,0,411,140,16,12.317902053956246,1.7331385094186542,0,21,50,0,0,0,4,-8.64113144017756,0,29,0,373,3,0,0,411,140,16,31.394283148809336,0,0,31,24,28,0,0,0,2.0,6.0,4,1,-5,8,0,0,0,0,1,1,0,0,0,8,91,5,2,11,4,93,2,2,0,0,40,1.0,0,1,0,1,0,0,0,0,0,0,0,0,27;40,,,67,0,0,3,3,0,0,1.0,0,0,0,0,0
2006,11,BAL,REG,ATL,24,34,236,0,0,2,-11,0,0,230,96,8,7.088900046757784,9.360991232097149,0,31,103,3,1,1,11,-5.041448114265222,0,24,0,236,0,0,0,230,96,8,16.9464826510186,0,0,37,9,9,0,0,0,5.0,45.0,7,0,0,2,0,0,0,0,0,1,0,0,0,7,56,5,3,121,3,91,1,2,1,0,29,0.5,0,1,0,0,0,0,0,0,0,1,0,0,29,42,,29,42,0,3,3,0,0,1.0,0,0,0,0,0
