season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2011,1,CAR,REG,ARI,24,37,422,2,1,4,-19,0,0,439,153,17,14.290661372593604,6.5009789692389,0,27,74,1,0,0,7,-5.727149156387895,0,24,37,422,2,0,0,439,153,17,21.708362669567578,0,0,35,7,11,0,0,1,2.0,14.0,2,0,0,4,0,0,0,0,0,0,1,1,0,10,74,5,4,19,2,49,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2011,2,CAR,REG,GB,28,46,432,1,3,4,-28,0,0,460,209,18,5.627340356158015,2.9250656780989273,0,21,71,1,0,0,6,-1.5571571540203877,0,28,46,432,1,1,1,460,209,18,8.552042867356136,0,0,36,3,11,0,0,1,1.0,13.0,2,0,0,4,0,0,0,0,0,0,1,1,0,6,50,4,2,11,5,107,3,3,0,0,33,1.0,0,2,1,0,0,0,0,0,0,0,0,0,20;33;21,,,74,0,0,2,2,0,0,1.0,0,0,0,0,0
2011,3,CAR,REG,JAX,18,34,158,1,0,0,0,0,0,272,105,10,1.189815694917459,-10.724799289847866,1,28,107,0,0,0,6,-6.720791862492292,0,18,34,158,1,0,0,272,105,10,1.189815694917459,1,0,38,7,17,0,0,1,2.0,10.0,2,1,15,5,0,0,1,0,0,0,0,0,0,8,69,3,4,28,1,4,2,2,0,0,35,1.0,0,0,2,0,0,0,0,0,0,0,0,0,35;32,,,67,0,0,0,0,0,0,,0,0,0,0,0
2011,4,CAR,REG,CHI,27,46,374,1,1,0,0,0,0,538,93,14,7.806808483634666,3.7300210860040455,0,26,169,2,1,0,11,8.289459120016545,0,27,45,374,1,0,0,538,93,14,8.057470954977033,0,0,39,0,10,0,0,0,1.0,9.0,3,1,9,4,0,0,0,0,1,2,0,0,0,8,52,5,2,7,6,145,3,5,1,1,39,0.6,0,1,2,0,0,0,0,0,0,0,1,0,29;39;38,52,34,106,52,34,2,2,0,0,1.0,0,0,0,0,0
2011,5,CAR,REG,NO,16,31,224,2,1,1,-5,1,0,360,128,7,1.711619694775436,-5.118031271042362,0,22,162,2,0,0,9,8.797534992103465,0,16,31,224,2,0,0,360,128,7,3.347056811733637,0,0,52,2,16,0,0,0,2.0,16.0,2,1,1,8,0,0,0,0,1,1,0,0,0,7,65,4,1,9,2,36,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,4,0,1,0.75,0,0,0,0,0
2011,6,CAR,REG,ATL,21,35,237,0,3,1,-8,0,0,274,77,12,-1.9644695807946846,-0.30681752797329065,0,26,139,2,0,0,11,5.686835456581321,0,21,33,237,0,2,0,274,77,12,0.8119346786988899,0,0,43,0,16,0,0,0,1.0,4.0,5,0,0,1,0,0,0,0,0,0,0,0,0,7,85,4,1,0,4,88,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,2,2,0,0,1.0,0,0,0,0,0
2011,7,CAR,REG,WAS,18,23,256,1,0,4,-24,0,0,232,107,10,13.32803164903639,17.35239793425021,0,37,175,2,1,0,10,2.6640825035741607,0,18,23,256,1,0,0,232,107,10,18.119062708496173,0,0,40,3,11,0,0,2,3.0,18.0,4,1,19,9,0,0,0,0,1,1,2,2,0,13,105,4,0,0,1,15,4,4,0,0,45,1.0,0,1,0,3,0,0,0,0,0,0,0,0,20;45;45;40,,,150,0,0,3,3,0,0,1.0,0,0,0,0,0
2011,8,CAR,REG,MIN,22,35,290,3,0,3,-25,2,2,336,111,11,4.6619752717894105,0.5025343384061541,0,27,140,0,0,0,11,2.236927446327172,0,22,35,290,3,0,0,336,111,11,15.523166163381243,0,0,45,6,18,0,0,1,4.0,7.0,6,0,0,3,0,0,0,0,1,1,1,1,0,6,60,2,3,19,3,61,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,31,,0,31,0,3,3,0,0,1.0,0,0,0,0,0
2011,10,CAR,REG,TEN,23,40,212,0,1,5,-46,0,0,319,88,9,-10.62706740522422,-7.3044807482988405,0,19,113,0,1,0,6,-2.4719773931135043,0,23,39,212,0,1,1,319,88,9,-6.823034665448499,0,0,46,3,17,0,0,0,1.0,8.0,3,1,24,5,0,0,0,0,1,2,0,0,0,12,99,3,2,10,0,0,1,2,1,0,29,0.5,0,1,0,0,0,0,0,0,0,0,1,0,29,50,,29,50,0,0,0,0,0,,0,0,0,0,0
2011,11,CAR,REG,DET,22,38,280,1,4,1,-8,0,0,369,192,12,-4.937865667890295,-2.482423186302185,1,26,137,2,0,0,8,1.946179673599545,0,22,37,280,1,0,0,369,192,12,-3.0703895856579795,1,1,45,2,22,0,0,1,2.0,9.0,3,2,21,6,0,0,0,0,0,0,1,1,0,7,70,6,2,25,3,140,2,2,0,0,31,1.0,0,1,1,0,0,0,0,0,0,0,0,0,27;31,,,58,0,0,3,3,0,0,1.0,0,0,0,0,0
2011,12,CAR,REG,IND,20,27,208,0,0,3,-32,0,0,169,117,9,4.716692216611799,8.595611872496429,0,35,201,3,0,0,13,9.629859571194153,0,20,27,208,0,1,1,169,117,9,4.563547057249915,0,0,28,0,32,0,0,1,2.0,8.0,3,2,0,4,0,0,0,0,0,0,0,0,0,6,92,3,4,23,2,100,2,3,0,1,41,0.6666666666666666,0,0,0,2,0,0,0,0,0,0,0,0,40;41,,45,81,0,45,3,3,0,0,1.0,0,0,0,0,0
2011,13,CAR,REG,TB,13,22,231,1,0,2,-9,0,0,287,115,10,13.138846690120008,3.254912929101424,0,39,163,4,0,0,12,9.456190761935432,0,13,22,231,1,0,0,287,115,10,15.238134015869182,0,0,39,9,11,0,0,0,2.0,22.0,3,1,9,4,0,0,0,0,0,0,0,0,0,2,20,2,1,12,1,17,1,1,0,0,43,1.0,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,5,5,0,0,1.0,0,0,0,0,0
2011,14,CAR,REG,ATL,19,39,276,2,2,2,-17,0,0,389,146,13,-6.042371301640472,-11.25467816988627,0,23,157,1,0,0,5,6.051748925965512,0,19,39,276,2,0,0,389,146,13,-2.521657046357817,0,0,42,0,20,0,0,1,3.0,12.0,4,0,0,6,0,0,1,0,0,0,0,0,0,5,50,3,4,11,5,89,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,36,,0,36,0,3,3,0,0,1.0,0,0,0,0,0
2011,15,CAR,REG,HOU,14,24,160,2,0,2,-10,0,0,221,91,8,3.548208356194664,-3.734795625011126,0,34,166,2,0,0,11,6.328463516547345,0,14,24,160,2,0,0,221,91,8,5.568317209079396,0,0,42,9,11,0,0,1,2.0,4.0,2,2,26,4,0,0,0,0,0,0,1,1,0,7,40,2,1,1,1,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2011,16,CAR,REG,TB,12,17,171,3,0,1,-8,0,0,65,138,6,10.830989029065144,0.15693499761469223,0,31,270,3,0,0,12,12.891954962629825,0,12,17,171,3,0,0,65,138,6,12.561456735052538,0,0,46,3,9,0,0,2,3.0,16.0,6,1,20,3,0,0,0,0,0,0,3,3,0,8,77,2,1,1,1,17,2,2,0,0,21,1.0,1,1,0,0,0,0,0,0,0,0,0,0,21;19,,,40,0,0,6,6,0,0,1.0,0,0,0,0,0
2011,17,CAR,REG,NO,15,25,158,1,1,2,-21,0,0,172,84,9,-4.814619783938174,1.271084858023602,0,24,164,1,0,0,9,10.02248116210103,0,15,23,158,1,1,1,172,84,9,-5.831588202549388,0,0,49,0,28,0,0,0,0.0,0.0,0,1,53,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,37,1,1,0,0,41,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,2,2,0,0,1.0,0,0,0,0,0
