season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2014,1,CHI,REG,BUF,34,49,349,2,2,2,-8,0,0,366,190,19,0.05838596446637245,2.8643311894669825,0,18,86,0,0,0,6,-0.05588807805906981,0,34,49,349,2,1,1,366,190,19,-4.045459602452235,0,0,45,0,12,3,13,0,1.0,6.0,3,1,5,1,0,0,0,0,0,0,0,0,0,4,43,2,1,-1,1,21,2,2,0,0,41,1.0,0,0,1,1,0,0,0,0,0,0,0,0,41;37,,,78,0,0,2,2,0,0,1.0,0,0,0,0,0
2014,2,CHI,REG,SF,23,34,176,4,0,1,-6,0,0,306,57,10,4.475097960443236,6.563823933110518,0,17,46,0,1,0,4,-4.763487604504917,0,23,34,176,4,0,0,306,57,10,6.127731638611294,0,0,49,1,9,7,22,1,4.0,16.0,5,3,39,4,0,0,0,0,1,2,1,1,0,10,58,3,1,1,1,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2014,3,CHI,REG,NYJ,23,38,225,2,0,4,-28,1,1,267,89,11,-1.0811048880394907,-3.5966201048148307,0,21,60,0,0,0,4,-1.5932924250373617,0,23,38,225,2,0,0,267,89,11,7.9365582506740555,0,0,33,19,35,3,16,4,3.0,16.0,8,2,57,7,1,0,0,0,0,0,1,1,0,9,95,4,1,11,4,73,2,2,0,0,45,1.0,0,1,0,1,0,0,0,0,0,0,0,0,24;45,,,69,0,0,3,3,0,0,1.0,0,0,0,0,0
2014,4,CHI,REG,GB,23,35,265,2,2,1,-4,0,0,265,138,14,-6.58249715166763,2.5242922135761807,0,41,235,0,2,0,16,6.352316197240725,0,23,35,265,2,0,0,265,138,14,-4.079478028795128,0,0,39,0,6,1,3,0,1.0,0.0,0,0,0,1,0,0,0,0,2,2,0,0,0,6,46,4,0,0,2,43,1,1,0,0,23,1.0,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,2,2,0,0,1.0,0,0,0,0,0
2014,5,CHI,REG,CAR,28,36,289,2,2,4,-27,1,1,187,197,11,1.6942325146098236,6.4407548970646324,0,22,85,1,1,1,6,-6.499353890309619,0,28,36,289,2,0,0,187,197,11,8.836732430457843,0,0,30,0,36,1,8,3,2.0,24.0,2,1,2,7,0,2,0,0,0,0,2,2,0,10,79,2,2,30,2,45,1,2,1,0,45,0.5,0,0,0,1,0,0,0,0,1,0,0,0,45,35,,45,35,0,3,3,0,0,1.0,0,0,0,0,0
2014,6,CHI,REG,ATL,26,38,381,1,0,2,-6,0,0,319,198,15,19.337324720587567,1.4196388815578662,1,29,103,2,0,0,7,-1.700664582895115,0,26,38,381,1,0,0,319,198,15,21.68824444433114,1,0,34,0,8,4,26,1,4.0,26.0,7,1,0,7,0,0,0,0,0,0,0,0,0,7,47,3,2,-1,2,35,2,2,0,0,28,1.0,0,2,0,0,0,0,0,0,0,0,0,0,25;28,,,53,0,0,1,2,0,1,0.5,0,0,0,0,0
2014,7,CHI,REG,MIA,21,34,190,1,1,3,-18,1,1,307,79,10,-9.599128686648328,-1.735648512840271,0,14,52,1,1,0,4,0.992022518243175,0,21,34,190,1,1,1,307,79,10,-7.356111999193672,0,0,55,0,16,6,18,1,4.0,21.0,6,0,0,3,0,0,0,0,2,3,0,0,0,2,15,2,0,0,2,75,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2014,8,CHI,REG,NE,21,35,249,3,1,3,-18,1,1,338,137,13,-2.3231544265579434,0.7580112985202244,2,26,153,0,0,0,11,7.08931667759316,0,21,35,249,3,0,0,338,137,13,7.638184051233344,2,0,32,0,60,4,18,0,1.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,41,2,1,10,5,94,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2014,10,CHI,REG,GB,23,40,283,1,2,4,-27,1,1,285,204,12,-21.209907459968235,-8.74927718192339,0,24,55,0,1,0,5,-6.850904969673138,0,23,40,283,1,0,0,285,204,12,-8.610675349016674,0,1,39,7,15,3,6,1,0.0,0.0,5,0,0,0,0,0,0,0,1,1,1,1,0,11,163,3,2,13,10,288,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2014,11,CHI,REG,MIN,31,43,330,3,2,0,0,0,0,315,152,16,11.530249935272561,10.310172445552293,0,31,138,0,0,0,8,-0.6496543583343737,0,31,43,330,3,0,0,315,152,16,11.530249935272561,0,0,35,0,6,5,17,0,2.0,11.0,5,1,0,2,0,0,0,0,0,0,0,0,0,7,60,5,3,17,4,59,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,47,,0,47,0,3,3,0,0,1.0,0,0,0,0,0
