season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2004,1,CIN,REG,NYJ,18,27,248,2,1,1,-10,0,0,0,248,11,14.659303685595624,,0,28,113,1,1,1,9,-8.060286627791356,0,18,0,248,2,0,0,0,0,11,24.93537599593401,0,0,41,14,14,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,0,0,1,1,0,6,49,3,0,0,5,127,1,1,0,0,22,1.0,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,3,3,0,0,1.0,0,0,0,0,0
2004,2,CIN,REG,MIA,21,38,147,0,1,5,-31,0,0,0,147,8,-17.26668391675193,,0,29,94,0,0,0,4,-7.241955529788626,0,21,0,147,0,0,0,0,0,8,5.297880151665398,0,0,42,2,22,0,0,1,2.0,17.0,0,2,50,11,1,0,0,0,0,0,1,1,0,3,19,4,2,27,1,19,3,4,1,0,48,0.75,0,0,2,1,0,0,0,0,1,0,0,0,48;36;39,38,,123,38,0,1,1,0,0,1.0,1,1,0,0,39
2004,3,CIN,REG,BAL,25,52,316,0,3,4,-27,1,1,0,316,17,-17.037677052911917,,0,26,109,0,0,0,4,-0.9997078484739177,0,25,0,316,0,0,0,0,0,17,21.14509299735073,0,0,48,1,11,0,0,3,1.0,0.0,0,0,0,2,0,0,0,0,0,0,2,2,0,5,25,6,1,9,3,45,3,3,0,0,47,1.0,0,2,0,1,0,0,0,0,0,0,0,0,29;47;26,,,102,0,0,0,0,0,0,,0,0,0,0,0
2004,4,CIN,REG,PIT,20,37,164,1,2,1,-8,0,0,0,164,13,-11.339091673224043,,0,27,137,1,1,1,7,0.8748285481124185,0,20,0,164,1,0,0,0,0,13,15.831393768254202,0,0,44,16,16,0,0,2,1.0,6.0,0,0,0,2,0,0,0,0,0,0,2,2,0,5,46,4,4,28,4,87,1,1,0,0,34,1.0,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,2,2,0,0,1.0,0,0,0,0,0
2004,6,CIN,REG,CLE,20,36,148,1,1,3,-17,0,0,0,148,8,-9.296141768656666,,0,18,58,0,0,0,2,-3.112902629538439,0,20,0,148,1,0,0,0,0,8,9.110882962995674,0,0,36,29,29,0,0,1,1.0,0.0,0,2,23,3,0,0,0,0,0,0,2,2,1,10,75,4,2,2,3,79,1,2,1,0,32,0.5,0,0,1,0,0,0,0,0,0,1,0,0,32,44,,32,44,0,2,2,0,0,1.0,0,0,0,0,0
2004,7,CIN,REG,DEN,12,21,198,1,1,1,-10,0,0,0,198,6,0.49825847117871547,,0,33,133,1,0,0,6,-8.53567970356848,0,12,0,198,1,0,0,0,0,6,12.905611400783528,0,0,41,3,27,0,0,2,3.0,26.0,0,2,48,8,0,0,0,0,1,1,1,1,0,9,65,3,3,25,3,64,3,3,0,0,53,1.0,0,0,2,0,1,0,0,0,0,0,0,0,53;34;35,,,122,0,0,2,2,0,0,1.0,0,0,0,0,0
2004,8,CIN,REG,TEN,20,36,247,0,1,4,-30,1,1,0,247,9,-2.9730222854232338,,0,17,57,1,0,0,6,-1.7138530797092244,0,20,0,247,0,0,0,0,0,9,19.097654176255208,0,0,42,23,25,0,0,0,2.0,15.0,0,1,51,4,1,0,0,0,0,0,0,0,0,10,64,5,0,0,5,92,2,2,0,0,50,1.0,0,1,0,0,1,0,0,0,0,0,0,0,28;50,,,78,0,0,2,2,0,0,1.0,0,0,0,0,0
2004,9,CIN,REG,DAL,21,32,212,1,0,0,0,0,0,0,212,6,1.0694697344337412,,0,31,116,1,0,0,8,1.9685450574909371,0,21,0,212,1,0,0,0,0,6,10.779884109666812,0,0,45,1,17,0,0,2,1.0,5.0,0,3,0,5,0,0,0,0,0,0,2,2,0,4,20,3,2,29,2,37,4,4,0,0,47,1.0,0,0,2,2,0,0,0,0,0,0,0,0,35;47;45;30,,,157,0,0,2,2,0,0,1.0,0,0,0,0,0
2004,10,CIN,REG,WAS,24,39,217,1,2,0,0,0,0,0,217,13,2.266614544951839,,0,34,99,1,1,1,4,-10.703701787278987,0,24,0,217,1,0,0,0,0,13,21.017194583710765,0,0,48,0,6,0,0,1,5.0,35.0,0,3,12,12,0,0,0,0,0,0,0,0,0,5,50,3,4,8,2,29,1,1,0,0,41,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,2,2,0,0,1.0,0,0,0,0,0
2004,11,CIN,REG,PIT,13,25,165,2,1,3,-18,0,0,0,165,7,-8.146274427766912,,0,16,62,0,0,0,4,-3.7664462222601287,0,13,0,165,2,0,0,0,0,7,12.192158993449993,0,0,55,4,26,0,0,2,7.0,54.0,0,0,0,2,0,0,0,0,1,1,1,1,0,10,97,4,3,11,4,79,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
