season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2024,1,CLE,REG,DAL,24,45,169,1,2,6,-32,1,0,395,102,8,-23.115656479087193,-7.962810612002081,0,19,93,1,0,0,5,4.085149191727396,0,24,43,169,1,0,0,395,102,8,-12.011554478027392,0,0,35,12,20,6,20,1,3.0,16.0,4,0,0,6,0,0,0,0,1,1,0,0,0,11,64,5,5,72,4,97,1,1,0,0,51,1.0,0,0,0,0,1,0,0,0,0,0,0,0,51,,,51,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,2,CLE,REG,JAX,22,34,186,0,0,2,-14,0,0,217,67,7,1.2459541138457446,-0.45865268418283195,0,29,125,1,1,0,9,0.20607116405153647,0,22,33,186,0,0,0,217,67,7,5.211135228347064,0,0,33,6,6,9,34,1,4.0,24.0,7,0,0,5,0,0,1,0,1,1,0,0,0,13,100,5,3,25,1,25,3,3,0,0,53,1.0,0,0,1,1,1,0,0,0,0,0,0,0,53;38;44,,,135,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,3,CLE,REG,NYG,21,37,196,2,0,8,-48,1,1,289,74,7,-19.51902969374708,-7.469329152788437,1,18,69,0,1,1,8,-4.25600821885746,0,21,35,196,2,0,0,289,74,7,0.9414722513030283,1,0,36,10,28,4,17,2,2.0,8.0,9,0,0,4,0,0,0,0,0,1,2,2,0,5,48,4,5,38,0,0,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,,53,,0,53,0,1,1,0,0,1.0,0,0,0,0,0
2024,4,CLE,REG,LV,24,32,176,1,1,3,-27,0,0,172,102,9,-6.92235081968829,4.124236479401588,0,22,92,0,1,0,7,0.19945883522202545,0,24,32,176,1,0,0,172,102,9,-1.4459163282299414,0,0,35,5,17,4,23,1,2.0,14.0,4,0,0,1,0,0,0,0,1,2,1,1,1,5,38,4,2,30,4,92,1,1,0,0,56,1.0,0,0,0,0,1,0,0,0,0,0,0,0,56,,,56,0,0,1,2,1,0,0.5,0,0,0,0,0
2024,5,CLE,REG,WAS,16,29,141,1,0,7,-33,1,1,253,90,7,-14.26473358310836,-7.9966700502804295,0,23,104,0,0,0,4,-3.770869032421615,0,16,28,141,1,0,0,253,90,7,0.4834925914183259,0,0,40,8,18,9,23,2,3.0,17.0,4,1,0,7,0,0,0,0,0,0,1,1,0,9,52,5,3,26,6,153,2,2,0,0,51,1.0,0,0,1,0,1,0,0,0,0,0,0,0,51;31,,,82,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,6,CLE,REG,PHI,16,23,168,0,0,5,-24,0,0,130,127,7,1.5159850724068882,-0.5168279875879702,0,25,100,0,0,0,6,-2.601207382202473,0,16,23,168,0,0,0,130,127,7,7.028435963647745,0,1,39,8,20,5,15,0,1.0,8.0,2,0,0,3,0,0,0,50,0,0,0,0,0,7,55,4,2,26,0,0,3,4,1,0,49,0.75,0,0,1,2,0,0,0,0,0,0,1,0,43;49;31,52,,123,52,0,1,1,0,0,1.0,0,0,0,0,0
2024,7,CLE,REG,CIN,31,52,277,1,2,4,-18,1,0,357,112,12,-11.96123540036194,-3.8676856706539784,1,21,77,1,0,0,5,0.05145782178880154,0,31,48,277,1,0,0,357,112,12,-1.357326082695974,1,0,26,13,23,6,20,0,3.0,17.0,7,0,0,4,0,0,0,0,1,1,0,0,0,10,80,5,5,43,2,31,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,49,,0,49,0,0,1,1,0,0.0,0,0,0,0,0
2024,8,CLE,REG,BAL,27,41,334,3,0,2,-13,1,1,411,68,16,11.89956042086482,2.923211600722333,0,23,80,0,0,0,5,-3.074990310127302,0,27,41,334,3,0,0,411,68,16,16.31686506592445,0,0,32,9,29,7,40,0,3.0,26.0,7,0,0,6,0,0,0,0,0,0,0,0,0,7,74,3,3,36,3,59,3,3,0,0,48,1.0,0,1,1,1,0,0,0,0,0,0,0,0,28;33;48,,,109,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,9,CLE,REG,LAC,26,46,235,1,3,6,-22,1,0,410,46,14,-20.964322289520815,-8.498814507671021,0,24,79,0,0,0,6,0.38435229542665184,0,26,46,235,1,0,0,410,46,14,-14.50256518309217,0,0,32,6,20,10,38,0,6.0,36.0,11,0,0,4,0,0,0,0,1,1,0,0,0,4,25,2,5,49,2,47,1,2,0,1,38,0.5,0,0,1,0,0,0,0,0,0,0,0,0,38,,51,38,0,51,1,1,0,0,1.0,0,0,0,0,0
2024,11,CLE,REG,NO,30,47,395,2,0,3,-18,0,0,463,213,17,8.607149692814929,-0.6989147265752157,1,20,66,0,0,0,3,-6.863059593364596,0,30,45,395,2,0,0,463,213,17,15.528461411909511,1,0,29,2,34,5,13,2,1.0,7.0,2,1,0,3,0,0,0,0,0,0,1,1,0,3,14,4,0,0,2,37,0,2,2,0,,0.0,0,0,0,0,0,0,0,1,0,0,1,0,,51;27,,0,78,0,0,0,0,0,,0,0,0,0,0
2024,12,CLE,REG,PIT,18,27,219,0,1,1,0,1,1,238,44,8,-0.7570856122181285,2.4911829718837057,1,27,85,3,0,0,8,6.106027501232232,0,18,27,219,0,2,1,238,44,8,-1.219039118382847,1,0,42,11,27,11,39,1,4.0,22.0,9,0,0,0,0,0,0,0,1,1,1,1,0,8,48,4,0,0,3,72,1,1,0,0,34,1.0,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,13,CLE,REG,DEN,34,58,497,4,3,3,-22,0,0,489,197,24,-2.339280853559483,-3.3235994347354794,1,23,77,0,0,0,3,-2.8600641363300383,0,34,57,497,4,0,0,489,197,24,1.7100145844284107,1,0,27,2,26,4,5,0,0.0,0.0,2,2,-2,6,0,0,0,0,0,0,0,0,0,5,46,4,2,8,1,21,1,2,1,0,45,0.5,0,0,0,1,0,0,0,0,0,1,0,0,45,47,,45,47,0,3,3,0,0,1.0,0,0,0,0,0
2024,14,CLE,REG,PIT,24,41,212,2,2,3,-16,0,0,342,63,11,-10.037393141880234,0.4121188376400906,0,25,104,0,0,0,7,-1.155000979139004,0,24,37,212,2,0,0,342,63,11,-0.9616140969377698,0,0,26,3,43,6,24,1,1.0,11.0,7,0,0,1,0,1,0,0,1,1,1,1,0,9,81,4,4,44,1,56,0,2,2,0,,0.0,0,0,0,0,0,0,0,0,1,1,0,0,,38;43,,0,81,0,2,2,0,0,1.0,0,0,0,0,0
2024,15,CLE,REG,KC,20,34,164,0,4,5,-37,1,0,263,115,9,-27.668672917352524,-4.921455774456263,0,21,139,1,1,1,5,-3.143410094198771,0,20,32,164,0,0,0,263,115,9,-16.169435450807214,0,0,37,7,29,5,6,0,0.0,0.0,12,0,0,4,0,1,0,0,1,1,0,0,0,6,45,6,3,14,4,117,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,16,CLE,REG,CIN,20,34,157,0,2,5,-32,0,0,192,113,8,-17.84603051986778,-3.4613088254005695,0,24,148,1,2,1,8,0.1833535172045231,0,20,31,157,0,0,0,192,113,8,-8.547985802288167,0,0,40,4,18,6,45,1,4.0,42.0,8,0,0,2,0,0,0,0,1,1,1,1,0,5,41,2,2,30,3,62,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,1,1,0,0.0,0,0,0,0,0
2024,17,CLE,REG,MIA,24,47,170,0,1,1,-8,1,1,271,70,7,-25.161638461693656,-14.867152516231979,0,28,114,0,0,0,8,-2.5760259818713522,0,24,43,170,0,0,0,271,70,7,-14.403614247741643,0,0,35,6,30,12,50,0,4.0,19.0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,84,3,1,9,1,23,1,1,0,0,25,1.0,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,0,0,0,0,,0,0,0,0,0
2024,18,CLE,REG,BAL,18,34,183,1,2,2,-9,0,0,247,108,9,-17.71640485589123,-12.122662681521794,0,19,56,0,0,0,1,-6.761286564753391,0,18,33,183,1,0,0,247,108,9,-14.178195633401263,0,0,43,1,15,3,8,0,0.0,0.0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,20,2,0,0,4,126,1,1,0,0,23,1.0,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,1,1,0,0,1.0,0,0,0,0,0
