season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2015,1,DAL,REG,NYG,36,45,356,3,2,0,0,0,0,184,218,21,9.175033079613025,8.768242928716871,0,23,80,0,1,0,4,-2.4281808514497243,0,36,45,356,3,1,1,184,218,21,-0.3628635427085438,0,0,35,3,17,4,11,0,1.0,3.0,4,0,0,3,0,0,0,0,2,2,0,0,0,3,35,4,1,-3,5,96,2,2,0,0,32,1.0,0,1,1,0,0,0,0,0,0,0,0,0,21;32,,,53,0,0,3,3,0,0,1.0,0,0,0,0,0
2015,2,DAL,REG,PHI,25,34,268,1,0,3,-18,1,1,239,130,12,3.0138858771595816,6.740229094729704,0,33,109,0,0,0,5,-5.1402685138746165,0,25,34,268,1,1,1,239,130,12,6.0663697584012235,0,1,32,0,16,7,30,0,1.0,5.0,1,2,24,6,0,0,0,26,0,0,1,1,0,18,142,3,2,1,1,31,2,2,0,0,28,1.0,0,2,0,0,0,0,0,0,0,0,0,0,20;28,,,48,0,0,2,2,0,0,1.0,0,0,0,0,0
2015,3,DAL,REG,ATL,22,26,232,0,1,2,-12,0,0,135,155,11,1.5961680916079786,12.61253677881681,0,21,127,4,0,0,9,3.571723205066519,0,22,26,232,0,0,0,135,155,11,5.148782760225004,0,0,43,1,15,3,12,0,1.0,5.0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,31,5,3,24,1,28,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2015,4,DAL,REG,NO,16,26,246,1,0,3,-26,0,0,261,117,11,10.832191967789807,1.3862324448732228,0,28,115,1,0,0,4,-3.355329832294956,0,16,26,246,1,0,0,261,117,11,15.228317101369836,0,0,52,0,18,5,29,0,3.0,24.0,4,0,0,2,0,0,0,0,0,0,0,0,0,6,30,4,0,0,2,40,2,2,0,0,38,1.0,0,0,2,0,0,0,0,0,0,0,0,0,30;38,,,68,0,0,2,2,0,0,1.0,0,0,0,0,0
2015,5,DAL,REG,NE,26,39,187,0,1,3,-24,0,0,235,95,10,-15.545410334276443,-1.4629399929291163,0,24,102,0,0,0,5,0.8830417492135894,0,26,39,187,0,1,1,235,95,10,-17.269213999648986,0,0,39,0,20,5,29,1,5.0,28.0,8,0,0,3,0,0,0,0,0,0,0,0,0,7,50,5,2,6,1,21,2,2,0,0,51,1.0,0,1,0,0,1,0,0,0,0,0,0,0,51;23,,,74,0,0,0,0,0,0,,0,0,0,0,0
2015,7,DAL,REG,NYG,17,27,227,1,3,1,0,0,0,261,72,10,-8.127157715351867,2.8107098407215543,0,41,233,1,0,0,14,12.215533921524184,0,17,27,227,1,0,0,261,72,10,-7.744574412324082,0,0,24,16,16,2,13,0,2.0,13.0,3,0,0,5,0,1,0,0,0,0,0,0,0,7,46,5,2,7,3,66,2,2,0,0,48,1.0,0,0,1,1,0,0,0,0,0,0,0,0,30;48,,,78,0,0,2,2,0,0,1.0,0,0,0,0,0
2015,8,DAL,REG,SEA,13,26,97,0,0,1,-6,0,0,122,80,4,-8.149142636171458,-20.148564932438042,0,30,129,0,0,0,8,1.8554867410566658,0,13,26,97,0,0,0,122,80,4,-7.856736104189334,0,0,36,2,22,5,10,0,0.0,0.0,6,1,9,2,0,1,0,19,1,1,0,0,0,5,40,5,2,8,0,0,4,4,0,0,52,1.0,0,1,2,0,1,0,0,0,0,0,0,0,33;35;52;27,,,147,0,0,0,0,0,0,,0,0,0,0,0
2015,9,DAL,REG,PHI,25,38,299,3,1,4,-22,2,0,295,158,11,1.1253012771381021,0.039457147185866896,0,29,134,0,0,0,8,2.8184306439361535,0,25,37,299,3,0,0,295,158,11,7.740024674207713,0,0,45,1,19,5,21,0,1.0,8.0,7,0,0,4,0,0,0,0,2,2,0,0,0,8,58,5,2,5,1,79,2,2,0,0,44,1.0,0,0,0,2,0,0,0,0,0,0,0,0,41;44,,,85,0,0,3,3,0,0,1.0,0,0,0,0,0
2015,10,DAL,REG,TB,19,29,186,0,1,3,-12,0,0,294,59,9,-1.1457165976936923,5.544055785451617,0,21,42,0,1,0,2,-6.9386656315651445,0,19,28,186,0,0,0,294,59,9,3.3505107891497268,0,0,35,14,14,3,20,0,2.0,18.0,8,2,19,8,0,0,0,0,1,1,0,0,0,6,65,3,3,23,2,35,2,3,1,0,53,0.6666666666666666,0,0,0,1,1,0,0,0,0,1,0,0,42;53,48,,95,48,0,0,0,0,0,,0,0,0,0,0
2015,11,DAL,REG,MIA,18,28,227,2,2,2,-7,0,0,266,59,11,3.9114446344997065,6.854520365595818,0,38,166,0,0,0,10,1.6989893813151866,0,18,28,227,2,0,0,266,59,11,6.127534274826758,0,0,31,0,6,3,34,0,3.0,48.0,7,1,12,2,1,0,0,0,0,0,0,0,0,10,79,5,2,18,0,0,1,1,0,0,30,1.0,0,0,1,0,0,0,0,0,0,0,0,0,30,,,30,0,0,3,3,0,0,1.0,0,0,0,0,0
2015,12,DAL,REG,CAR,24,40,199,1,3,2,-20,0,0,312,116,10,-16.625565595396154,-3.245857436405985,1,14,31,0,0,0,3,-2.5716578238934744,0,24,38,199,1,0,0,312,116,10,-13.539653270034876,1,0,40,4,26,5,30,0,1.0,18.0,2,0,0,5,0,0,0,35,0,0,0,0,0,5,40,5,1,8,0,0,2,2,0,0,48,1.0,0,1,0,1,0,0,0,0,0,0,0,0,21;48,,,69,0,0,0,0,0,0,,0,0,0,0,0
2015,13,DAL,REG,WAS,16,29,223,0,0,1,-2,0,0,264,69,9,4.106767590634006,-8.621329814195633,0,24,97,1,3,2,5,-11.886293309909776,0,16,28,223,0,1,1,264,69,9,0.5575504409023031,0,0,37,5,37,6,29,2,3.0,26.0,6,0,0,1,0,0,0,0,1,1,1,1,0,8,70,2,3,31,2,70,4,4,0,0,54,1.0,0,1,2,0,1,0,0,0,0,0,0,0,38;34;20;54,,,146,0,0,1,1,0,0,1.0,1,1,0,0,54
2015,14,DAL,REG,GB,13,29,114,0,1,2,-15,0,0,254,44,5,-18.24915768118808,-13.25512049453599,0,20,171,1,0,0,5,6.267418760806322,0,13,28,114,0,0,0,254,44,5,-14.949253804574255,0,0,44,14,32,6,21,0,2.0,13.0,4,0,0,1,0,0,0,0,0,0,0,0,0,6,30,5,3,-6,1,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2015,15,DAL,REG,NYJ,18,33,195,1,4,2,-19,0,0,274,101,9,-16.377835782379307,-7.435391026158487,0,21,133,0,0,0,5,1.5172550696297549,0,18,31,195,1,0,0,274,101,9,-5.376757495472601,0,0,45,1,23,6,7,0,2.0,0.0,6,1,-2,2,0,0,0,0,0,0,0,0,0,6,54,4,3,23,5,131,3,3,0,0,50,1.0,0,1,1,0,1,0,0,0,0,0,0,0,27;38;50,,,115,0,0,1,1,0,0,1.0,0,0,0,0,0
2015,16,DAL,REG,BUF,13,31,186,0,1,0,0,0,0,287,109,10,-3.99812389555764,-17.003014783064526,0,25,121,0,0,0,4,1.1407152395113371,0,13,30,186,0,0,0,287,109,10,-2.8466238801991652,0,0,35,16,22,2,7,1,3.0,7.0,3,1,0,3,0,0,0,0,0,0,1,1,0,8,65,5,2,32,1,15,2,3,1,0,46,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,1,0,46;22,50,,68,50,0,0,0,0,0,,0,0,0,0,0
2015,17,DAL,REG,WAS,33,48,435,3,2,4,-23,0,0,370,187,22,8.322529776225565,5.1551871933043,0,16,100,0,2,2,7,-9.656269531085854,0,33,48,435,3,0,0,370,187,22,14.050169588270364,0,0,39,6,26,2,15,2,1.0,13.0,4,0,0,2,0,0,1,0,0,1,0,0,0,4,44,6,2,6,3,70,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
