season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2024,1,DEN,REG,SEA,26,42,138,0,2,2,-6,0,0,264,68,6,-18.2777050810312,-5.089776430811203,0,25,99,1,1,0,7,-0.6061090577277355,0,26,42,138,0,1,1,264,68,6,-19.695747013640556,0,0,29,14,28,9,29,0,2.0,13.0,7,1,21,2,0,0,2,0,1,1,1,1,0,8,60,6,5,47,3,69,3,3,0,0,45,1.0,0,0,2,1,0,0,0,0,0,0,0,0,35;30;45,,,110,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,2,DEN,REG,PIT,20,35,246,0,2,2,-15,0,0,325,127,8,-8.624825167329673,-4.336511275985024,0,19,64,0,0,0,5,-4.989731757028494,0,20,33,246,0,0,0,325,127,8,-3.8735434935716144,0,0,34,8,32,4,11,0,2.0,7.0,6,0,0,1,0,0,0,0,0,0,0,0,0,9,124,6,3,20,0,0,2,2,0,0,35,1.0,0,1,1,0,0,0,0,0,0,0,0,0,35;29,,,64,0,0,0,0,0,0,,0,0,0,0,0
2024,3,DEN,REG,TB,25,36,216,0,0,0,0,0,0,248,99,8,2.115855223944337,4.943022394881532,0,28,136,2,1,1,10,1.4623855834361166,0,25,34,216,0,0,0,248,99,8,2.7600799294405487,0,0,31,6,28,5,31,1,7.0,31.0,9,1,37,3,0,0,0,0,0,0,1,1,0,5,51,3,1,27,0,0,4,4,0,0,43,1.0,0,0,2,2,0,0,0,0,0,0,0,0,43;38;33;43,,,157,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,4,DEN,REG,NYJ,12,25,60,1,0,0,0,0,0,253,34,3,-12.965077901084442,-14.79930990934372,0,31,126,0,0,0,8,0.4171546433187525,0,12,25,60,1,1,1,253,34,3,-15.80292656616075,0,0,39,12,30,8,41,1,5.0,41.0,14,0,0,4,0,0,0,0,0,0,1,1,0,5,74,4,1,5,0,0,1,2,1,0,47,0.5,0,0,0,1,0,0,0,0,0,0,1,0,47,50,,47,50,0,1,1,0,0,1.0,0,0,0,0,0
2024,5,DEN,REG,LV,19,27,206,2,0,3,-26,0,0,144,147,9,2.4855613098209925,2.3926575596516004,0,28,109,1,0,0,7,-3.098659616021905,0,19,26,206,2,0,0,144,147,9,6.961126731798073,0,0,33,8,22,5,19,0,3.0,16.0,6,3,100,6,1,0,0,0,1,2,0,0,0,9,44,4,2,54,2,61,2,2,0,0,51,1.0,0,0,0,1,1,0,0,0,0,0,0,0,51;44,,,95,0,0,4,4,0,0,1.0,0,0,0,0,0
2024,6,DEN,REG,LAC,19,33,216,2,1,2,-10,0,0,330,65,10,-3.4612769858357497,-5.980653362348676,0,18,110,0,1,1,7,0.15607624544601784,0,19,32,216,2,0,0,330,65,10,1.0810472651938907,0,0,42,4,32,5,17,1,3.0,15.0,6,0,0,6,0,0,0,0,0,0,0,0,0,7,37,5,1,10,1,31,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,7,DEN,REG,NO,16,26,164,0,0,0,0,0,0,162,105,8,1.1637442958891078,-7.986245036125183,0,35,225,2,1,1,13,2.8242088173893993,0,16,25,164,0,0,0,162,105,8,1.504585660412038,0,0,41,2,30,6,45,2,6.0,36.0,11,0,0,3,0,0,0,0,0,0,2,2,1,7,47,5,2,13,2,60,4,4,0,0,52,1.0,0,0,2,1,1,0,0,0,0,0,0,0,46;32;52;38,,,168,0,0,3,3,0,0,1.0,0,0,0,0,0
2024,8,DEN,REG,CAR,30,39,315,3,0,2,-17,0,0,408,125,16,15.349420277780155,14.790402039101247,0,32,102,1,0,0,6,-2.4285039011738263,0,30,38,315,3,2,2,408,125,16,9.525252954044845,0,0,27,8,24,6,16,0,2.0,9.0,5,2,28,2,0,0,0,0,0,0,0,0,0,4,43,6,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2024,9,DEN,REG,BAL,20,34,225,1,1,4,-28,0,0,255,100,10,-7.562333446622335,-2.813842034701147,0,30,122,0,0,0,6,-3.2127170941093937,0,20,33,225,1,0,0,255,100,10,1.216258494575766,0,0,29,7,31,4,22,1,1.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,71,0,1,18,4,116,1,1,0,0,37,1.0,0,0,1,0,0,0,0,0,0,0,0,0,37,,,37,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,10,DEN,REG,KC,22,30,215,2,0,2,-33,0,0,233,121,12,7.696348666215702,12.606211432388852,0,23,78,0,0,0,4,-3.690392692307329,0,22,28,215,2,0,0,233,121,12,12.598812123064338,0,0,39,2,30,5,26,0,4.0,23.0,9,0,0,2,0,0,0,0,1,1,0,0,0,6,35,6,1,28,0,0,0,2,1,1,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,60,35,0,60,35,2,2,0,0,1.0,0,1,0,1,35
