season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2014,1,DET,REG,NYG,22,32,346,2,0,1,-5,0,0,346,157,14,20.91621919006849,9.721963902314505,1,30,76,2,1,0,5,-7.050560051633511,0,22,30,346,2,0,0,346,157,14,25.07123951976566,1,0,39,0,8,3,14,0,2.0,19.0,9,2,31,5,0,0,0,0,1,1,0,0,0,8,85,2,3,11,0,0,2,3,1,0,28,0.6666666666666666,0,2,0,0,0,0,0,0,0,1,0,0,28;27,43,,55,43,0,3,3,0,0,1.0,0,0,0,0,0
2014,2,DET,REG,CAR,27,48,291,1,1,4,-38,0,0,400,134,18,-1.1448957755554143,-6.270133207241694,0,18,70,0,1,1,2,-4.387519626994617,0,27,48,291,1,1,0,400,134,18,5.080770284906248,0,0,35,2,28,9,48,0,4.0,30.0,7,0,0,3,0,0,0,0,1,1,0,0,0,5,33,3,3,52,1,33,0,2,2,0,,0.0,0,0,0,0,0,0,0,0,0,2,0,0,,49;49,,0,98,0,1,1,0,0,1.0,0,0,0,0,0
2014,3,DET,REG,GB,22,34,246,0,2,2,-8,1,1,296,91,13,-0.27083801014021214,-0.9138261570649988,0,38,115,1,0,0,6,-4.077341554162558,0,22,34,246,0,0,0,296,91,13,6.0463012683004145,0,0,40,1,9,6,25,1,2.0,15.0,3,0,0,4,0,0,1,0,0,0,1,1,1,6,40,1,2,16,2,56,1,2,1,0,30,0.5,0,0,1,0,0,0,0,0,0,1,0,0,30,41,,30,41,0,2,2,0,0,1.0,0,0,0,0,0
2014,4,DET,REG,NYJ,24,34,293,2,0,4,-21,0,0,297,136,12,9.47067590107402,4.983135425683224,0,27,88,1,0,0,5,-4.2450270567205735,0,24,33,293,2,0,0,297,136,12,15.532535343810043,0,0,27,0,44,4,24,1,2.0,5.0,6,1,40,1,0,0,0,0,0,0,1,1,0,5,33,3,1,14,2,35,1,2,1,0,51,0.5,0,0,0,0,1,0,0,0,0,0,1,0,51,52,,51,52,0,3,3,0,0,1.0,0,0,0,0,0
2014,5,DET,REG,BUF,18,31,231,1,1,6,-27,2,0,221,144,7,-10.7245139146865,-12.542824687496308,0,20,69,0,0,0,3,-1.8757482463261113,0,18,31,231,1,1,1,221,144,7,-4.484366432082712,0,0,48,0,16,8,40,1,2.0,14.0,9,1,41,4,1,0,0,0,2,2,0,0,0,8,62,4,2,48,0,0,0,3,3,0,,0.0,0,0,0,0,0,0,0,0,0,2,1,0,,44;47;50,,0,141,0,2,2,0,0,1.0,0,0,0,0,0
2014,6,DET,REG,MIN,19,33,185,1,0,4,-30,0,0,230,159,9,-3.350493475093892,-10.535481662461251,0,28,100,1,0,0,6,-3.005584255442092,0,19,33,185,1,0,0,230,159,9,1.5113917526691347,0,0,47,0,12,10,32,1,8.0,45.0,13,3,22,6,0,0,0,0,0,0,0,0,0,5,40,3,4,31,0,0,1,3,2,0,52,0.3333333333333333,0,0,0,0,1,0,0,0,0,1,1,0,52,50;44,,52,94,0,2,2,0,0,1.0,0,0,0,0,0
2014,7,DET,REG,NO,27,40,299,2,2,3,-14,0,0,259,148,13,-4.0940339182994245,-2.627296671271324,0,24,59,1,0,0,4,-4.758069594507106,0,27,40,299,2,0,0,259,148,13,-0.3123884236697956,0,0,44,0,10,5,15,1,1.0,7.0,7,1,23,6,0,0,0,0,0,0,1,1,0,9,71,1,0,0,2,47,1,1,0,0,21,1.0,0,1,0,0,0,0,0,0,0,0,0,0,21,,,21,0,0,3,3,0,0,1.0,0,0,0,0,0
2014,8,DET,REG,ATL,24,47,325,2,1,0,0,0,0,338,164,17,10.648370639340838,-13.291130756789988,0,23,60,0,1,0,4,-3.069117195904255,0,24,44,325,2,1,0,338,164,17,10.844748768060354,0,0,50,0,0,5,19,3,2.0,15.0,6,1,45,1,0,0,0,0,1,2,0,0,0,8,85,3,0,0,0,0,3,3,0,0,48,1.0,0,2,0,1,0,0,0,0,0,0,0,0,22;20;48,,,90,0,0,1,1,0,0,1.0,1,1,0,0,48
2014,10,DET,REG,MIA,27,42,307,2,1,3,-19,0,0,388,147,15,5.9227796329698865,-0.6636308460700803,0,19,63,0,0,0,2,-5.731458306456068,0,27,41,307,2,0,0,388,147,15,11.095610054219776,0,0,41,0,16,7,39,1,3.0,29.0,10,1,70,5,0,0,0,0,0,0,1,1,0,10,98,3,3,16,4,102,2,3,0,1,50,0.6666666666666666,0,1,0,0,1,0,0,0,0,0,0,0,26;50,,42,76,0,42,2,2,0,0,1.0,0,0,0,0,0
2014,11,DET,REG,ARI,18,30,183,0,1,4,-19,0,0,233,96,6,-5.8010161420809325,-6.983149896065394,0,19,98,0,1,0,4,-3.126566389517393,0,18,30,183,0,0,0,233,96,6,-1.1762477012364416,0,0,38,6,8,5,14,0,0.0,0.0,5,2,42,8,0,0,0,0,2,2,0,0,0,9,80,4,2,16,1,26,2,2,0,0,50,1.0,0,1,0,0,1,0,0,0,0,0,0,0,50;28,,,78,0,0,0,0,0,0,,0,0,0,0,0
2014,12,DET,REG,NE,18,46,264,0,1,2,-20,0,0,466,138,12,-6.803035668790626,-19.308096898926628,0,25,91,0,0,0,5,-3.790114901436027,0,18,45,264,0,0,0,466,138,12,-1.8968240984196838,0,0,58,0,2,5,17,0,0.0,0.0,4,1,5,4,0,0,0,0,0,0,0,0,0,9,54,3,2,5,1,27,3,4,1,0,49,0.75,0,1,0,2,0,0,0,0,0,0,1,0,48;20;49,53,,117,53,0,0,0,0,0,,0,0,0,0,0
2014,13,DET,REG,CHI,34,45,390,2,0,2,-7,1,1,274,204,19,7.965619295046851,7.45207741856575,0,23,91,2,0,0,7,1.2823554313508794,0,34,44,390,2,0,0,274,204,19,17.050887262824176,0,0,38,2,8,6,28,0,3.0,24.0,8,2,0,10,0,1,0,0,1,1,0,0,0,5,38,2,2,14,3,65,2,2,0,0,46,1.0,0,0,0,2,0,0,0,0,0,0,0,0,46;40,,,86,0,0,4,4,0,0,1.0,0,0,0,0,0
2014,14,DET,REG,TB,26,34,311,3,0,4,-17,1,0,214,179,19,15.460075078302935,10.647893231362104,0,31,113,1,0,0,3,-10.384661171992775,0,26,32,311,3,0,0,214,179,19,24.20067839476181,0,0,34,1,7,10,55,0,6.0,43.0,14,2,11,8,0,1,0,0,2,2,1,1,0,9,122,1,2,11,2,67,2,2,0,0,46,1.0,0,1,0,1,0,0,0,0,0,0,0,0,46;23,,,69,0,0,4,4,0,0,1.0,0,0,0,0,0
2014,15,DET,REG,MIN,17,28,153,1,0,0,0,0,0,155,131,8,-2.063042474285226,-8.062889942756065,0,22,80,0,0,0,3,-4.574569366402212,0,17,26,153,1,0,0,155,131,8,-0.012302368952419318,0,0,49,1,13,7,35,1,4.0,31.0,7,2,58,3,0,0,0,0,0,0,0,0,0,5,35,3,2,14,0,0,3,3,0,0,33,1.0,0,1,2,0,0,0,0,0,0,0,0,0,29;30;33,,,92,0,0,1,1,0,0,1.0,0,0,0,0,0
2014,16,DET,REG,CHI,22,39,243,0,2,4,-14,0,0,304,112,14,-0.25214089014617835,-6.988885463812412,0,26,138,2,1,0,6,5.837114264839329,0,22,39,243,0,0,0,304,112,14,4.521253929784949,0,0,46,1,5,7,22,0,2.0,11.0,9,1,0,5,0,1,0,0,1,1,0,0,0,7,60,2,3,22,2,28,2,3,0,1,39,0.6666666666666666,0,0,2,0,0,0,0,0,0,0,0,0,39;30,,37,69,0,37,2,2,0,0,1.0,0,0,0,0,0
2014,17,DET,REG,GB,20,41,217,3,0,2,-15,0,0,398,96,14,-3.4175172155955806,-12.430771961808205,0,23,111,0,2,1,9,-1.3805253281751648,0,20,40,217,3,0,0,398,96,14,1.9564582319871988,0,0,46,4,16,3,11,1,1.0,7.0,2,0,0,2,0,0,0,0,1,1,2,2,0,10,53,5,1,14,5,126,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
