season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2010,1,GB,REG,PHI,19,31,188,2,2,3,-21,0,0,321,38,13,0.938667040408145,2.564878861109416,0,33,132,1,0,0,8,1.2916312348358208,0,19,30,188,2,0,0,321,38,13,5.364433643175289,0,0,46,2,4,0,0,2,5.0,28.0,6,0,0,7,0,0,0,0,0,0,1,1,0,2,15,3,1,10,5,156,2,2,0,0,56,1.0,0,0,0,1,1,0,0,0,0,0,0,0,49;56,,,105,0,0,3,3,0,0,1.0,0,0,0,0,0
2010,2,GB,REG,BUF,19,29,255,2,0,0,0,0,0,280,94,14,12.223756040807906,9.092725607855563,0,27,91,2,1,0,4,2.4473926050704904,0,19,29,255,2,1,0,280,94,14,12.223756040807906,0,0,38,14,18,0,0,0,4.0,40.0,10,2,9,3,0,0,0,0,2,2,0,0,0,6,49,2,3,22,2,61,2,2,0,0,44,1.0,0,1,0,1,0,0,0,0,0,0,0,0,44;24,,,68,0,0,4,4,0,0,1.0,0,0,0,0,0
2010,3,GB,REG,CHI,34,45,316,1,1,0,0,0,0,397,120,16,16.485523002998427,20.717132694664457,0,15,63,1,0,0,4,0.8200270259403624,0,34,42,316,1,1,1,397,120,16,15.599759036840162,0,0,41,1,1,0,0,1,3.0,22.0,6,1,15,3,0,0,0,0,0,0,0,0,0,17,152,6,1,10,5,97,1,2,0,1,38,0.5,0,0,1,0,0,0,0,0,0,0,0,0,38,,37,38,0,37,2,2,0,0,1.0,0,0,0,0,0
2010,4,GB,REG,DET,12,17,181,3,2,2,-12,0,0,281,26,9,5.895360644557513,17.39298806470983,0,21,92,0,0,0,6,-3.06432993686758,0,12,17,181,3,0,0,281,26,9,9.167317942541558,0,0,49,14,18,0,0,1,3.0,23.0,5,2,60,8,1,0,0,0,0,0,1,1,0,3,31,2,1,11,7,124,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2010,5,GB,REG,WAS,27,46,293,1,1,4,-23,0,0,330,122,13,-2.508240946954823,-4.726099703047014,0,17,157,0,0,0,4,3.7773933887365274,0,27,45,293,1,1,1,330,122,13,-3.147272090689695,0,0,41,7,25,0,0,0,5.0,35.0,10,1,64,6,0,0,0,0,0,0,0,0,0,9,63,6,5,75,5,68,2,4,2,0,52,0.5,0,0,1,0,1,0,0,0,0,1,1,0,52;36,48;53,,88,101,0,1,1,0,0,1.0,0,0,0,0,0
2010,6,GB,REG,MIA,18,33,313,1,1,5,-30,0,0,351,148,12,3.2352445816968007,1.1373046143301582,0,21,76,1,0,0,3,0.5233591528958641,0,18,29,313,1,0,0,351,148,12,13.602123482723012,0,0,46,17,25,0,0,0,0.0,0.0,4,1,0,5,0,1,0,0,1,1,0,0,0,7,45,4,3,7,5,99,2,2,0,0,46,1.0,0,1,0,1,0,0,0,0,0,0,0,0,46;26,,,72,0,0,2,2,0,0,1.0,0,0,0,0,0
2010,7,GB,REG,MIN,21,35,295,2,2,0,0,0,0,379,157,14,5.365101051400416,0.953742265701294,0,23,84,1,1,0,5,-2.138440932088997,0,21,35,295,2,0,0,379,157,14,5.365101051400416,0,0,40,14,18,0,0,0,1.0,6.0,6,3,56,5,1,0,0,0,1,1,0,0,0,2,20,1,2,10,5,104,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2010,8,GB,REG,NYJ,15,34,170,0,0,2,-14,0,0,356,85,10,-4.498732751032462,-14.283813711474927,0,26,81,0,0,0,2,-6.794785090992097,0,15,34,170,0,0,0,356,85,10,-2.8495257986659492,0,0,42,10,10,0,0,2,2.0,15.0,3,2,0,9,0,0,0,0,0,0,1,1,0,3,15,3,0,0,1,5,3,4,1,0,41,0.75,0,1,0,2,0,0,0,0,0,1,0,0,20;41;40,45,,101,45,0,0,0,0,0,,0,0,0,0,0
2010,9,GB,REG,DAL,27,35,289,3,0,1,-12,0,0,237,133,15,16.634803364817095,14.073941637487977,0,35,138,1,0,0,8,-0.7542669642716646,0,27,34,289,3,1,0,237,133,15,20.444314477136448,0,0,41,6,6,0,0,3,4.0,17.0,5,2,62,7,1,2,0,0,1,1,2,2,1,2,20,0,5,22,2,52,1,2,0,1,26,0.5,0,1,0,0,0,0,0,0,0,0,0,0,26,,54,26,0,54,6,6,0,0,1.0,0,0,0,0,0
2010,11,GB,REG,MIN,23,32,306,4,0,3,-23,0,0,251,161,15,16.435509839374227,8.530868403613567,0,30,91,0,0,0,5,-5.884398357651662,0,23,32,306,4,0,0,251,161,15,21.30101190442185,0,0,39,3,5,0,0,1,1.0,1.0,7,1,14,4,0,0,0,0,0,0,1,1,0,1,5,3,2,11,2,30,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,4,4,0,0,1.0,0,0,0,0,0
2010,12,GB,REG,ATL,26,35,344,1,0,1,-3,1,0,249,189,15,18.34324026305694,8.260147741862703,0,23,77,1,1,1,5,-7.968689643295173,0,26,35,344,1,2,0,249,189,15,19.470371248491574,0,0,40,2,24,0,0,1,2.0,20.0,2,0,0,0,0,0,0,0,2,2,0,0,0,8,66,4,2,2,4,87,1,1,0,0,22,1.0,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,2,2,0,0,1.0,0,0,0,0,0
2010,13,GB,REG,SF,21,30,298,3,0,4,-24,0,0,270,164,9,10.32229759617032,12.679628770926902,0,34,136,1,0,0,11,6.290979270794196,0,21,29,298,3,0,0,270,164,9,16.476705616546937,0,0,35,8,10,0,0,0,4.0,22.0,5,1,7,4,0,0,0,0,0,0,0,0,0,5,40,4,3,34,5,84,2,3,1,0,43,0.6666666666666666,0,1,0,1,0,0,0,1,0,0,0,0,43;24,29,,67,29,0,4,4,0,0,1.0,0,0,0,0,0
2010,14,GB,REG,DET,22,37,223,0,2,4,-31,0,0,354,123,8,-12.865172211910686,-4.191083078448836,0,20,66,0,0,0,4,-4.1078819908434525,0,22,37,223,0,1,1,354,123,8,-12.211041659539188,0,0,50,0,22,0,0,0,2.0,21.0,3,2,0,6,0,0,0,0,0,0,0,0,0,3,20,6,2,28,2,47,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,0,0,0,0,,0,0,0,0,0
2010,15,GB,REG,NE,24,37,251,3,1,5,-25,1,1,275,147,13,0.9504689893126654,4.209221402804057,0,38,143,0,0,0,9,1.3010203212616034,0,24,36,251,3,0,0,275,147,13,9.145851036815454,0,0,35,4,4,0,0,1,3.0,27.0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,15,5,4,26,6,128,2,2,0,0,31,1.0,1,0,1,0,0,0,0,0,0,0,0,0,31;19,,,50,0,0,3,3,0,0,1.0,0,0,0,0,0
2010,16,GB,REG,NYG,25,37,404,4,0,2,-8,1,0,412,189,19,25.36752742729209,10.34172173287417,0,35,119,2,0,0,7,0.49198667652672157,0,25,37,404,4,1,1,412,189,19,25.405605533824428,0,0,32,13,21,0,0,2,1.0,5.0,4,4,7,10,0,0,0,0,1,1,2,2,0,3,31,3,2,7,4,60,1,1,0,0,31,1.0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,6,6,0,0,1.0,0,0,0,0,0
