season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2007,1,JAX,REG,TEN,17,30,204,1,0,2,-4,0,0,343,35,6,1.1018219898170307,0.28208823039613923,0,18,72,0,0,0,5,2.842353441839805,0,17,0,204,1,1,1,343,35,6,6.975910600391217,0,0,62,1,7,0,0,2,2.0,10.0,2,1,23,3,0,0,0,0,0,0,0,0,0,4,45,6,1,3,2,71,1,1,0,0,22,1.0,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,1,1,0,0,1.0,0,0,0,0,0
2007,2,JAX,REG,ATL,17,25,272,1,0,4,-21,1,0,266,107,12,9.017361308331601,6.694232380908469,0,34,113,0,0,0,5,-5.499689413104159,0,17,0,272,1,0,0,266,107,12,22.717353672895115,0,0,44,1,1,0,0,0,7.0,34.0,8,0,0,1,0,0,0,0,1,1,0,0,0,11,91,4,1,10,0,0,2,2,0,0,35,1.0,0,1,1,0,0,0,0,0,0,0,0,0,35;27,,,62,0,0,1,1,0,0,1.0,0,0,0,0,0
2007,3,JAX,REG,DEN,14,20,154,1,0,3,-14,1,1,139,62,9,6.624918338893694,10.630173589053907,0,47,186,1,1,1,11,-2.575597984287978,0,14,0,154,1,0,0,139,62,9,18.21015101770172,0,0,33,2,6,0,0,2,1.0,4.0,1,1,1,4,0,0,0,0,0,0,2,2,0,3,14,3,0,0,3,89,3,3,0,0,27,1.0,2,1,0,0,0,0,0,0,0,0,0,0,19;27;18,,,64,0,0,2,2,0,0,1.0,0,0,0,0,0
2007,5,JAX,REG,KC,20,27,218,1,0,4,-17,0,0,274,82,12,10.425951376405258,19.663833799185575,0,35,156,1,0,0,7,-0.4493331822656472,0,20,0,218,1,0,0,274,82,12,21.95593781489879,0,0,35,3,5,0,0,0,2.0,13.0,5,1,0,6,0,0,0,0,0,0,0,0,0,5,30,2,4,28,1,29,1,2,1,0,20,0.5,0,1,0,0,0,0,0,0,0,1,0,0,20,48,,20,48,0,2,2,0,0,1.0,0,0,0,0,0
2007,6,JAX,REG,HOU,22,34,221,2,0,1,-8,0,0,183,149,13,9.615497992403107,0.3363697817831328,0,26,244,2,0,0,9,13.129932385450472,0,22,0,221,2,2,2,183,149,13,12.282471839571372,0,0,62,1,1,0,0,2,2.0,12.0,3,1,0,4,0,1,0,0,0,0,1,1,1,3,28,5,1,0,4,76,1,2,1,0,37,0.5,0,0,1,0,0,0,0,0,0,1,0,0,37,42,,37,42,0,4,5,0,1,0.8,0,0,0,0,0
2007,7,JAX,REG,IND,17,36,128,0,2,3,-19,1,1,279,58,8,-15.116136812837794,-17.388407843453543,0,27,117,1,1,0,9,1.0319465054781176,0,17,0,128,0,0,0,279,58,8,10.102420235052705,0,0,51,7,7,0,0,1,2.0,16.0,6,1,4,7,0,0,0,0,1,1,0,0,0,2,20,5,1,9,5,139,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2007,8,JAX,REG,TB,7,16,100,1,0,2,-14,1,0,180,42,6,1.6068738542197494,-10.024854727089405,0,44,133,1,0,0,6,-6.411832637852058,0,7,0,100,1,0,0,180,42,6,10.445415877155028,0,0,44,2,4,0,0,0,2.0,18.0,5,3,41,6,1,0,0,0,1,1,0,0,0,5,45,3,3,30,6,119,1,1,0,0,41,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,3,3,0,0,1.0,0,0,0,0,0
2007,9,JAX,REG,NO,20,33,354,2,3,2,-10,0,0,448,110,13,5.932616228223945,2.759177703410387,0,23,88,0,0,0,4,-4.262555725988932,0,20,0,354,2,0,0,448,110,13,27.54922590102069,0,1,55,11,11,0,0,1,1.0,10.0,1,0,0,4,0,0,0,0,0,0,1,1,0,4,38,5,1,0,4,162,1,1,0,0,30,1.0,0,0,1,0,0,0,0,0,0,0,0,0,30,,,30,0,0,3,3,0,0,1.0,0,0,0,0,0
2007,10,JAX,REG,TEN,13,23,101,1,0,1,-5,0,0,180,42,7,2.6059676654986106,-4.117546522099039,0,44,166,3,1,1,12,-3.36101198598044,0,13,0,101,1,0,0,180,42,7,11.49319700122578,0,0,33,19,23,0,0,1,4.0,27.0,5,2,18,11,0,0,0,0,0,1,1,1,0,4,35,3,3,45,2,29,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2007,11,JAX,REG,LAC,15,24,189,2,0,0,0,0,0,209,68,9,8.146524317496223,1.8442673608660698,0,37,122,1,0,0,8,-1.9437593224574812,0,15,0,189,2,0,0,209,68,9,15.94073991588084,0,0,40,2,6,0,0,0,0.0,0.0,3,2,39,2,0,0,0,0,0,0,0,0,0,5,42,2,2,38,4,71,1,1,0,0,48,1.0,0,0,0,1,0,0,0,0,0,0,0,0,48,,,48,0,0,3,3,0,0,1.0,0,0,0,0,0
2007,12,JAX,REG,BUF,23,37,296,1,0,1,-4,0,0,362,121,14,12.941180754128021,3.625598124095372,0,26,124,2,0,0,6,-3.88764408512538,0,23,0,296,1,0,0,362,121,14,25.366844755872908,0,0,55,2,2,0,0,1,1.0,8.0,4,2,17,3,0,1,0,0,0,0,1,1,0,1,5,5,2,12,2,53,5,5,0,0,46,1.0,0,3,1,1,0,0,0,0,0,0,0,0,46;33;22;23;20,,,144,0,0,3,3,0,0,1.0,0,0,0,0,0
2007,13,JAX,REG,IND,24,29,257,2,1,3,-14,1,1,272,54,14,6.039410673225438,20.76307319361588,0,31,168,1,0,0,12,12.069821308061481,1,24,0,257,2,0,0,272,54,14,21.292885624570772,0,0,25,18,20,0,0,0,1.0,9.0,5,1,37,3,0,0,0,0,0,0,0,0,0,8,64,5,1,7,4,62,1,2,1,0,47,0.5,0,0,0,1,0,0,0,0,0,1,0,0,47,46,,47,46,0,2,2,0,0,1.0,0,0,0,0,0
2007,14,JAX,REG,CAR,21,37,249,2,0,0,0,0,0,317,121,14,12.242656836735302,0.7284550247965632,0,38,178,1,1,1,8,-5.536793344235835,0,21,0,249,2,1,0,317,121,14,25.77912811818532,0,0,35,0,4,0,0,1,1.0,6.0,1,1,39,3,1,0,0,0,0,0,1,1,0,6,40,2,3,60,2,39,3,3,0,0,33,1.0,0,2,1,0,0,0,0,0,0,0,0,0,21;20;33,,,74,0,0,4,4,0,0,1.0,0,0,0,0,0
2007,15,JAX,REG,PIT,17,33,197,3,1,0,0,0,0,386,28,11,2.440936296967769,-6.421149228558396,0,42,224,1,0,0,13,11.764700816653203,0,17,0,197,3,0,0,386,28,11,20.778828661096263,0,0,27,12,16,0,0,2,5.0,40.0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,10,0,4,15,3,55,1,1,0,0,36,1.0,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2007,16,JAX,REG,LV,16,26,253,4,1,2,-17,0,0,281,139,13,10.134104340861086,2.552961826324463,0,28,201,3,0,0,9,9.110496830544434,0,16,0,253,4,0,0,281,139,13,24.715088701690547,0,0,46,0,22,0,0,1,4.0,24.0,9,3,11,5,0,2,0,0,1,1,1,1,0,6,42,2,4,67,1,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,7,7,0,0,1.0,0,0,0,0,0
2007,17,JAX,REG,HOU,25,39,302,4,0,2,-17,0,0,407,102,19,19.14500855305232,4.57350153189439,0,23,96,0,0,0,6,0.7666070826817304,0,25,0,302,4,0,0,407,102,19,33.59088349353988,0,0,37,5,15,0,0,0,1.0,8.0,2,1,7,2,0,1,0,0,0,0,0,0,0,8,45,2,1,0,6,106,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
