season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2005,1,KC,REG,NYJ,15,26,200,0,1,1,-9,0,0,0,200,10,6.210540204260211,,0,34,198,3,0,0,10,7.499272663951691,0,15,0,200,0,0,0,0,0,10,17.094768071488943,0,0,49,9,9,0,0,3,3.0,19.0,0,1,53,4,0,1,0,0,1,1,2,2,0,4,26,3,0,0,2,39,2,3,1,0,41,0.6666666666666666,0,0,1,1,0,0,0,0,1,0,0,0,41;38,32,,79,32,0,3,3,0,0,1.0,0,0,0,0,0
2005,2,KC,REG,LV,18,28,237,0,0,1,-8,0,0,0,237,8,9.483561138384383,,0,36,125,2,0,0,9,2.668544255269927,0,18,0,237,0,1,1,0,0,8,15.8070126119419,0,0,35,11,11,0,0,1,1.0,7.0,0,0,0,6,0,0,0,0,0,0,2,2,0,9,78,3,4,32,4,136,3,4,0,1,42,0.75,0,0,2,1,0,0,0,0,0,0,0,0,31;39;42,,46,112,0,46,2,2,0,0,1.0,0,0,0,0,0
2005,3,KC,REG,DEN,23,44,221,1,0,2,-10,0,0,0,221,11,-0.6818872401687628,,0,22,74,0,1,1,5,-2.846446476818528,0,23,0,221,1,0,0,0,0,11,19.52783932519378,0,0,41,5,11,0,0,1,1.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,118,4,1,10,5,125,1,1,0,0,28,1.0,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,1,1,0,0,1.0,0,0,0,0,0
2005,4,KC,REG,PHI,19,30,221,2,2,3,-12,0,0,0,221,10,-5.963960567667552,,0,27,144,1,1,1,9,1.568745692668017,0,19,0,221,2,0,0,0,0,10,16.65551419384062,0,1,45,5,5,0,0,1,1.0,1.0,0,1,0,2,0,0,0,0,0,0,1,1,0,6,40,6,1,0,8,234,1,1,0,0,38,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,4,4,0,0,1.0,0,0,0,0,0
2005,6,KC,REG,WAS,15,25,181,1,0,1,-3,0,0,0,181,7,5.9505748230958755,,1,32,96,1,2,0,8,-1.8637285745321353,0,15,0,181,1,0,0,0,0,7,14.094572093206924,1,0,51,8,8,0,0,3,4.0,34.0,0,0,0,4,0,0,0,0,2,3,3,3,1,4,24,4,2,2,4,72,2,2,0,0,38,1.0,0,1,1,0,0,0,0,0,0,0,0,0,20;38,,,58,0,0,2,2,0,0,1.0,0,0,0,0,0
2005,7,KC,REG,MIA,20,34,289,0,0,2,-12,0,0,0,289,14,13.648099644221107,,0,45,185,3,0,0,11,-3.7547507174503063,0,20,0,289,0,0,0,0,0,14,26.672022164359795,0,0,30,0,12,0,0,1,2.0,10.0,0,1,15,8,0,0,0,0,0,0,0,0,0,7,63,1,5,19,3,65,3,3,0,0,52,1.0,0,0,1,0,2,0,0,0,0,0,0,0,30;51;52,,,133,0,0,3,3,0,0,1.0,0,0,0,0,0
2005,8,KC,REG,LAC,31,43,347,2,0,4,-24,1,1,0,347,17,5.256224059013874,,0,21,95,0,0,0,3,-2.700309664501932,0,31,0,347,2,0,0,0,0,17,24.884090220942852,0,0,37,15,15,0,0,2,0.0,0.0,0,1,50,13,0,0,0,0,0,0,1,1,0,9,58,5,3,54,4,101,2,2,0,0,34,1.0,0,1,1,0,0,0,0,0,0,0,0,0,34;20,,,54,0,0,2,2,0,0,1.0,0,0,0,0,0
2005,9,KC,REG,LV,22,35,235,1,0,3,-28,2,1,0,235,10,1.0716591590368694,,0,24,114,2,1,0,7,3.1841544034541585,0,22,0,235,1,0,0,0,0,10,15.994426669541427,0,0,46,7,7,0,0,0,1.0,13.0,0,1,14,4,0,0,0,0,2,3,0,0,0,11,87,5,5,32,6,83,2,2,0,0,47,1.0,0,1,0,1,0,0,0,0,0,0,0,0,27;47,,,74,0,0,3,3,0,0,1.0,0,0,0,0,0
2005,10,KC,REG,BUF,23,40,220,0,3,6,-54,1,1,0,220,10,-21.803417946717104,,0,32,150,0,0,0,11,2.0152697586977917,0,23,0,220,0,0,0,0,0,10,16.467589461943135,0,0,29,10,20,0,0,2,2.0,14.0,0,0,0,4,0,0,0,0,1,1,2,2,0,8,65,4,4,14,3,56,1,3,2,0,35,0.3333333333333333,0,0,1,0,0,0,0,0,0,2,0,0,35,44;43,,35,87,0,0,0,0,0,,0,0,0,0,0
2005,11,KC,REG,HOU,19,29,220,3,1,0,0,0,0,0,220,11,8.64336253728106,,0,42,226,2,0,0,15,7.483257510524709,0,19,0,220,3,0,0,0,0,11,20.03393321533076,0,0,44,1,3,0,0,2,1.0,1.0,0,1,57,10,1,0,0,0,1,1,2,2,0,5,30,0,3,5,4,94,1,1,0,0,35,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,6,6,0,0,1.0,0,0,0,0,0
