season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2013,1,LA,REG,ARI,27,38,299,2,1,0,0,0,0,195,178,14,8.999259859954899,3.8696260436585064,0,24,67,0,1,0,4,-5.502069651839564,1,27,38,299,2,1,1,195,178,14,3.1557675834539904,0,0,58,0,2,6,20,4,4.0,23.0,6,1,29,9,0,0,0,0,1,1,1,1,0,7,59,2,1,1,3,46,4,4,0,0,48,1.0,0,1,2,1,0,0,0,0,0,0,0,0,36;25;38;48,,,147,0,0,1,1,0,0,1.0,1,1,0,0,48
2013,2,LA,REG,ATL,32,55,352,3,1,0,0,0,0,381,204,18,3.8959808624923724,-4.5746706978038505,0,18,69,0,0,0,4,-0.03561013680882752,0,32,54,352,3,0,0,381,204,18,5.245971584750016,0,0,51,0,0,6,25,0,2.0,17.0,8,0,0,4,0,0,0,0,0,0,0,0,0,7,53,3,4,6,1,25,1,1,0,0,29,1.0,0,1,0,0,0,0,0,0,0,0,0,0,29,,,29,0,0,3,3,0,0,1.0,0,0,0,0,0
2013,3,LA,REG,DAL,29,49,240,1,0,6,-43,0,0,319,127,11,-18.317996464669704,-6.051607212672635,0,12,35,0,0,0,3,-2.119281951279845,0,29,48,240,1,1,1,319,127,11,-13.49176584329689,0,0,46,0,8,3,15,1,1.0,7.0,1,0,0,1,0,0,0,0,0,0,1,1,0,5,41,2,2,16,2,46,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2013,4,LA,REG,SF,19,41,202,1,1,5,-32,1,1,391,76,12,-17.781198673753476,-17.119507964064432,0,19,18,0,0,0,0,-6.804495522825047,1,19,41,202,1,0,0,391,76,12,-6.642106335831283,0,0,43,0,18,4,12,1,2.0,16.0,4,0,0,3,0,1,0,18,1,1,2,2,0,8,82,3,6,19,3,74,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,0,0,0,0,,0,0,0,0,0
2013,5,LA,REG,JAX,19,34,222,3,0,2,-14,1,0,265,97,12,4.603757533549688,-8.901006947545447,0,36,143,0,0,0,7,-8.068233782571042,0,19,34,222,3,0,0,265,97,12,7.839544121015243,0,0,44,1,7,5,12,3,2.0,3.0,3,2,82,7,1,0,0,0,1,1,1,1,0,6,53,1,4,15,2,52,2,2,0,0,37,1.0,0,0,2,0,0,0,0,0,0,0,0,0,32;37,,,69,0,0,4,4,0,0,1.0,0,0,0,0,0
2013,6,LA,REG,HOU,12,16,117,3,0,0,0,0,0,89,78,9,11.57245770477104,11.574964970350266,0,25,99,0,0,0,4,-2.1419752093497664,0,12,16,117,3,0,0,89,78,9,11.57245770477104,0,0,54,7,21,6,20,3,5.0,17.0,8,2,103,4,1,0,0,0,0,0,2,2,1,9,74,2,0,0,3,64,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,5,5,0,0,1.0,0,0,0,0,0
2013,7,LA,REG,CAR,23,34,274,1,1,4,-20,2,1,261,157,10,-1.142684194049861,5.379601699464462,0,21,63,0,0,0,5,-6.583701866678894,0,23,34,274,1,1,1,261,157,10,-0.6522454628372265,0,0,44,0,18,8,35,0,2.0,24.0,3,0,0,1,0,2,1,0,1,1,0,0,0,8,68,5,3,26,3,73,2,2,0,0,42,1.0,0,1,0,1,0,0,0,0,0,0,0,0,28;42,,,70,0,0,1,1,0,0,1.0,0,0,0,0,0
2013,8,LA,REG,SEA,15,31,158,0,2,3,-19,1,0,248,49,7,-18.69046182170261,-15.388816691214041,0,37,200,0,0,0,12,3.246055599069223,0,15,31,158,0,0,0,248,49,7,-13.679990935866522,0,0,32,0,4,10,53,0,7.0,48.0,10,0,0,1,0,0,0,0,0,0,0,0,0,8,53,4,4,7,3,79,3,4,1,0,33,0.75,0,2,1,0,0,0,0,0,0,0,1,0,33;28;27,50,,88,50,0,0,0,0,0,,0,0,0,0,0
2013,9,LA,REG,TEN,20,35,210,1,0,2,-7,1,1,275,90,13,1.7542072093603167,-6.644135056173102,0,32,160,2,1,1,9,-1.5461152563220821,0,20,34,210,1,0,0,275,90,13,6.889951778717801,0,0,52,1,3,7,25,0,4.0,20.0,11,2,3,3,0,0,0,0,0,0,0,0,0,6,44,5,3,33,1,25,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,44,,0,44,0,3,3,0,0,1.0,0,0,0,0,0
2013,10,LA,REG,IND,9,16,247,2,0,2,-15,0,0,116,174,7,16.420852625538828,-8.63918773829937,0,37,140,1,1,1,6,-12.171655370508503,0,9,16,247,2,0,0,116,174,7,19.62393792302464,0,1,42,0,20,4,25,1,3.0,33.0,7,4,34,12,0,1,0,0,1,2,1,1,1,8,46,3,4,145,1,27,1,1,0,0,32,1.0,0,0,1,0,0,0,0,0,0,0,0,0,32,,,32,0,0,5,5,0,0,1.0,0,0,0,0,0
