season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2024,1,LAC,REG,LV,17,26,144,1,0,1,-4,0,0,163,77,6,-4.875879753395097,-0.6245571374893188,0,27,176,1,0,0,5,0.27146262551844125,0,17,25,144,1,0,0,163,77,6,-1.9097435836588232,0,0,41,3,19,3,11,1,3.0,22.0,6,1,3,5,0,0,0,0,0,0,2,2,0,7,50,1,1,9,1,35,3,3,0,0,53,1.0,0,2,0,0,1,0,0,0,0,0,0,0,53;25;24,,,102,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,2,LAC,REG,CAR,14,20,130,2,1,1,0,1,1,141,64,8,1.4336512824779608,7.65847108866039,0,44,219,1,0,0,10,3.0392067674444636,0,14,19,130,2,0,0,141,64,8,6.980373627066449,0,0,28,6,24,4,19,0,2.0,15.0,2,1,3,5,0,0,0,0,0,0,0,0,0,3,15,3,1,15,1,13,2,2,0,0,46,1.0,0,0,0,2,0,0,0,0,0,0,0,0,46;42,,,88,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2024,3,LAC,REG,PIT,14,20,149,1,0,5,-44,1,0,188,66,7,-2.04759807778274,6.364506483078003,0,20,61,0,0,0,4,-5.363125078147277,0,14,19,149,1,0,0,188,66,7,6.338083648255716,0,0,34,14,30,8,30,0,2.0,13.0,5,1,0,4,0,0,0,0,2,3,0,0,0,7,69,6,1,5,2,37,1,1,0,0,28,1.0,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,1,1,0,0,1.0,0,0,0,0,0
2024,4,LAC,REG,KC,16,27,179,1,0,2,-10,0,0,193,128,9,-2.0499847903784856,-6.547607426290158,0,24,55,0,1,0,4,-9.293384593519363,0,16,27,179,1,0,0,193,128,9,0.2863326456926272,0,0,29,7,27,2,8,1,3.0,17.0,4,1,29,5,0,2,0,0,1,2,1,1,0,9,51,6,0,0,0,0,1,2,1,0,50,0.5,0,0,0,0,1,0,0,0,0,0,1,0,50,55,,50,55,0,1,1,0,0,1.0,0,0,0,0,0
2024,6,LAC,REG,DEN,21,34,237,1,0,3,-15,1,0,283,123,10,8.115746300136228,1.4173978759396444,0,38,128,1,0,0,10,-3.4060390732774977,0,21,31,237,1,0,0,283,123,10,13.99758121092358,0,0,27,5,17,2,12,1,2.0,10.0,5,1,25,6,0,0,0,0,1,1,1,1,0,3,20,1,2,26,0,0,3,3,0,0,46,1.0,0,1,1,1,0,0,0,0,0,0,0,0,20;33;46,,,99,0,0,2,2,0,0,1.0,0,0,0,0,0
2024,7,LAC,REG,ARI,27,39,349,0,0,3,-13,0,0,336,125,15,13.250134193409986,4.839166837769587,0,22,59,0,0,0,5,-2.544653500430286,0,27,37,349,0,2,1,336,125,15,10.1509179749935,0,0,28,5,21,1,6,1,0.0,0.0,1,1,4,6,0,1,0,0,0,0,0,0,0,5,57,6,0,0,0,0,5,5,0,0,59,1.0,0,1,0,2,2,0,0,0,0,0,0,0,59;50;28;47;40,,,224,0,0,0,0,0,0,,0,0,0,0,0
2024,8,LAC,REG,NO,20,32,279,2,0,3,-23,0,0,245,123,12,2.1494329552558167,-3.1423940261204977,0,29,122,1,1,0,7,-2.2815170140820555,0,20,30,279,2,0,0,245,123,12,10.556046287242408,0,0,41,2,22,6,34,0,5.0,32.0,7,0,0,5,0,0,0,0,1,2,0,0,0,4,34,2,3,28,2,57,2,2,0,0,46,1.0,0,1,0,1,0,0,0,0,0,0,0,0,46;29,,,75,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2024,9,LAC,REG,CLE,18,27,282,2,0,6,-36,0,0,270,129,10,1.3242007204249338,8.326609088824348,0,23,96,2,0,0,3,0.3764029277372174,0,18,26,282,2,0,0,270,129,10,8.14085517056862,0,0,41,7,29,8,29,1,6.0,22.0,9,3,19,12,0,0,0,0,0,0,0,0,0,5,35,4,2,64,0,0,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,44,,0,44,0,3,4,1,0,0.75,0,0,0,0,0
2024,10,LAC,REG,TEN,14,18,164,1,0,0,0,0,0,114,93,8,9.668904586900211,8.564060926437378,0,39,145,2,0,0,11,-0.8284794980204091,0,14,18,164,1,0,0,114,93,8,9.668904586900211,0,0,38,3,17,8,26,1,7.0,18.0,9,0,0,1,0,0,0,0,0,0,0,0,0,5,30,3,2,14,1,56,2,2,0,0,37,1.0,0,1,1,0,0,0,0,0,0,0,0,0,21;37,,,58,0,0,3,3,0,0,1.0,0,0,0,0,0
2024,11,LAC,REG,CIN,17,36,297,2,0,2,-17,0,0,463,65,14,1.9990993643142447,-11.721016331152471,0,25,155,2,1,1,7,0.6247264773701318,0,17,33,297,2,0,0,463,65,14,7.557547720133808,0,0,41,0,34,5,19,0,3.0,14.0,14,0,0,10,0,0,0,0,0,0,0,0,0,5,50,6,3,38,1,32,2,2,0,0,53,1.0,1,0,0,0,1,0,0,0,0,0,0,0,19;53,,,72,0,0,4,4,0,0,1.0,0,0,0,0,0
