season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2000,1,MIA,REG,SEA,15,24,134,1,0,2,-7,0,0,0,134,5,-0.7296716620513868,,0,41,181,1,1,1,10,-8.83054133190176,0,15,24,134,1,0,0,0,0,5,2.1466410033570904,0,0,27,0,28,3,16,1,4.0,12.0,6,4,50,8,0,0,0,0,0,0,2,2,0,6,36,1,5,24,1,26,3,3,0,0,48,1.0,0,1,1,1,0,0,0,0,0,0,0,0,48;25;30,,,103,0,0,2,2,0,0,1.0,0,0,0,0,0
2000,2,MIA,REG,MIN,12,31,175,1,1,3,-15,0,0,29,175,8,-5.082313002203591,,0,16,49,0,0,0,2,-4.116728974826401,0,12,31,175,1,0,0,29,0,8,0.11033438821323216,0,0,39,11,21,3,14,2,3.0,12.0,2,3,15,10,0,0,0,0,0,0,1,1,0,7,40,4,2,14,4,88,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
2000,3,MIA,REG,BAL,11,16,160,1,1,1,-8,0,0,5,160,8,5.345537784677824,,0,34,106,1,0,0,6,-4.582816300389823,0,11,16,160,1,0,0,5,0,8,6.487515302310592,0,0,35,0,26,4,25,3,6.0,45.0,5,1,43,6,0,0,0,0,0,0,0,0,0,6,38,1,3,59,2,42,2,2,0,0,42,1.0,0,0,0,2,0,0,0,0,0,0,0,0,42;41,,,83,0,0,1,2,1,0,0.5,0,0,0,0,0
2000,4,MIA,REG,NE,12,24,153,1,2,1,-10,0,0,20,153,4,-6.465769925911445,,0,33,99,0,1,1,7,-5.450120280245004,0,12,24,153,1,0,0,20,0,4,-5.117965546960477,0,0,39,0,32,4,16,2,2.0,7.0,1,1,3,5,0,0,0,0,0,0,1,1,0,5,40,3,4,50,1,25,1,1,0,0,43,1.0,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,1,1,0,0,1.0,0,0,0,0,0
2000,5,MIA,REG,CIN,14,21,155,2,1,2,-12,0,0,5,155,8,9.386583162355237,,0,29,159,1,1,1,8,-1.9549608109180956,0,14,21,155,2,0,0,5,0,8,11.806004988844506,0,0,53,8,10,6,17,1,3.0,19.0,3,0,0,5,0,0,0,0,0,0,1,1,1,8,61,3,0,0,4,78,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,4,4,0,0,1.0,0,0,0,0,0
2000,8,MIA,REG,NYJ,16,35,250,2,3,2,-15,0,0,59,250,9,7.214145559981754,,0,38,198,2,0,0,11,4.84510269813732,0,16,34,250,2,0,0,59,0,9,9.093036947062993,0,0,47,20,20,5,15,1,1.0,2.0,0,3,12,7,0,0,0,0,0,0,1,1,0,13,95,5,2,35,7,193,3,4,1,0,44,0.75,0,1,0,2,0,0,0,0,1,0,0,0,28;42;44,36,,114,36,0,4,4,0,0,1.0,0,0,0,0,0
2000,9,MIA,REG,GB,16,25,158,1,0,1,-2,0,0,0,158,8,5.724928081966937,,0,30,140,2,2,1,6,-3.7841267964686267,0,16,25,158,1,0,0,0,0,8,7.42637479538098,0,1,45,1,11,2,5,1,2.0,8.0,1,1,24,7,0,0,0,0,1,1,1,1,0,7,104,0,2,88,4,86,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2000,10,MIA,REG,DET,13,18,112,0,0,1,-8,0,0,0,112,3,-0.932336651649659,,0,37,189,2,0,0,12,4.26508033123885,0,13,18,112,0,0,0,0,0,3,1.4911974347900996,0,0,37,0,20,6,17,2,4.0,15.0,5,1,15,4,0,2,0,0,0,0,2,2,0,7,62,3,3,45,2,56,3,3,0,0,41,1.0,0,0,1,2,0,0,0,0,0,0,0,0,40;38;41,,,119,0,0,2,2,0,0,1.0,0,0,0,0,0
2000,11,MIA,REG,LAC,13,20,160,0,0,0,0,0,0,0,160,5,5.576245182724845,,0,41,84,2,0,0,6,-9.542589880526066,0,13,20,160,0,0,0,0,0,5,5.576245182724845,0,0,37,6,8,2,13,1,3.0,22.0,2,4,60,10,0,0,0,0,0,0,0,0,0,8,60,2,2,20,2,50,1,1,0,0,35,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,2,2,0,0,1.0,0,0,0,0,0
2000,12,MIA,REG,NYJ,16,29,128,0,3,3,-11,0,0,46,128,5,-16.12836788799203,,0,22,83,0,0,0,4,-2.6610553718637675,0,16,29,128,0,1,1,46,0,5,-16.33017295605558,0,0,44,0,12,9,17,1,2.0,7.0,1,2,0,7,0,0,0,0,0,0,0,0,0,10,88,2,4,30,4,89,1,1,0,0,47,1.0,0,0,0,1,0,0,0,0,0,0,0,0,47,,,47,0,0,0,0,0,0,,0,0,0,0,0
