season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2003,1,MIN,REG,GB,15,30,195,3,0,2,-12,0,0,0,195,12,14.586263115699966,,0,36,154,0,2,2,7,-1.99415204313118,0,15,0,195,3,0,0,0,0,12,24.761466603350076,0,0,42,9,13,0,0,1,1.0,6.0,0,4,98,5,0,0,0,0,0,0,1,1,0,7,65,1,1,0,3,47,3,3,0,0,46,1.0,0,1,1,1,0,0,0,0,0,0,0,0,22;46;34,,,102,0,0,3,3,0,0,1.0,0,0,0,0,0
2003,2,MIN,REG,CHI,20,26,214,2,0,3,-16,2,1,0,214,11,4.738588787886377,,0,39,202,1,1,0,14,3.113750642107334,0,20,0,214,2,0,0,0,0,11,18.34615254103325,0,0,30,6,10,0,0,0,3.0,17.0,0,1,19,2,0,0,0,0,2,2,0,0,0,3,25,3,2,36,4,95,1,2,1,0,23,0.5,0,1,0,0,0,0,0,0,0,0,1,0,23,53,,23,53,0,3,3,0,0,1.0,0,0,0,0,0
2003,3,MIN,REG,DET,15,32,289,1,1,2,-2,0,0,0,289,10,10.464925257385932,,0,22,127,2,1,0,4,3.0981069778790697,0,15,0,289,1,0,0,0,0,10,26.09522792097414,0,0,47,1,25,0,0,1,2.0,10.0,0,3,1,10,0,0,0,0,1,2,0,0,0,11,125,5,2,11,4,99,1,2,1,0,21,0.5,0,1,0,0,0,0,0,0,1,0,0,0,21,37,,21,37,0,2,2,0,0,1.0,0,0,0,0,0
2003,4,MIN,REG,SF,16,21,267,4,0,2,-15,0,0,0,267,10,17.3194544701837,,0,30,102,1,0,0,8,0.9121564792003483,0,16,0,267,4,0,0,0,0,10,24.39791489520576,0,0,49,7,13,0,0,1,4.0,27.0,0,3,105,10,0,0,0,0,0,0,0,0,0,4,29,1,1,5,2,35,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2003,5,MIN,REG,ATL,14,24,239,2,1,2,-6,0,0,0,239,10,6.070052026474034,,1,38,166,2,1,0,7,0.3830329178870828,0,14,0,239,2,0,0,0,0,10,20.749495950222016,1,0,54,2,2,0,0,3,2.0,16.0,0,2,81,6,0,1,2,0,2,4,1,1,0,8,58,0,3,10,7,112,2,2,0,0,32,1.0,0,1,1,0,0,0,0,0,0,0,0,0,32;24,,,56,0,0,3,3,0,0,1.0,0,0,0,0,0
2003,7,MIN,REG,DEN,19,26,277,2,0,2,-9,0,0,0,277,9,7.476109812036157,,0,22,72,1,1,0,5,-2.802140461804811,0,19,0,277,2,0,0,0,0,9,17.651489237265196,0,0,41,13,19,0,0,1,5.0,40.0,0,3,67,7,1,1,0,0,3,3,0,0,0,14,108,3,3,24,5,107,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2003,8,MIN,REG,NYG,18,31,241,2,2,4,-19,1,0,0,241,11,-3.53927191674409,,0,28,137,0,0,0,9,1.0780419968169506,0,18,0,241,2,0,0,0,0,11,17.279768611521668,0,0,46,7,9,0,0,1,1.0,8.0,0,1,0,7,0,0,0,0,1,1,0,0,0,9,52,4,2,18,7,110,1,2,1,0,51,0.5,0,0,0,0,1,0,0,0,0,0,1,0,51,54,,51,54,0,2,2,0,0,1.0,0,0,0,0,0
2003,9,MIN,REG,GB,21,34,202,2,0,2,-4,0,0,0,202,11,4.071107643740008,,0,25,125,1,0,0,8,4.374992564320564,0,21,0,202,2,0,0,0,0,11,17.151878419390414,0,0,39,13,21,0,0,0,1.0,4.0,0,1,25,2,0,0,0,0,0,0,0,0,0,4,20,5,2,23,7,136,2,2,0,0,47,1.0,0,0,1,1,0,0,0,0,0,0,0,0,47;37,,,84,0,0,3,3,0,0,1.0,0,0,0,0,0
2003,10,MIN,REG,LAC,32,44,370,4,1,3,-20,0,0,0,370,17,19.51996419255738,,0,23,110,0,1,1,8,-1.2626215845230035,0,32,0,370,4,0,0,0,0,17,36.134710373939015,0,0,39,8,8,0,0,0,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,107,4,1,15,7,120,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2003,11,MIN,REG,LV,27,49,396,1,3,3,-23,2,1,0,396,16,-1.6224113749294746,,1,22,94,1,1,1,4,-1.318941742181778,0,27,0,396,1,1,1,0,0,16,30.565724433792756,1,0,45,15,15,0,0,2,3.0,11.0,0,0,0,2,0,0,0,0,1,1,2,2,0,10,60,6,1,11,5,139,1,3,2,0,35,0.3333333333333333,0,0,1,0,0,0,0,0,1,1,0,0,35,39;44,,35,83,0,1,1,0,0,1.0,0,0,0,0,0
2003,12,MIN,REG,DET,20,30,196,0,1,3,-10,1,0,0,196,12,0.5899704937433032,,0,28,121,1,1,1,6,-15.501211872790009,0,20,0,196,0,0,0,0,0,12,15.11191151703998,0,0,39,3,5,0,0,0,0.0,0.0,0,4,103,13,2,0,0,0,1,1,0,0,0,11,95,4,5,59,1,18,1,1,0,0,24,1.0,0,1,0,0,0,0,0,0,0,0,0,0,24,,,24,0,0,3,3,0,0,1.0,0,0,0,0,0
2003,13,MIN,REG,LA,33,48,330,1,1,8,-54,2,1,0,330,17,-12.552181729188597,,0,26,189,1,0,0,8,9.011759817018174,0,33,0,330,1,1,1,0,0,17,25.341952733229846,0,0,42,2,2,0,0,0,1.0,8.0,0,1,44,2,0,0,0,0,0,0,0,0,0,11,65,2,0,0,8,182,1,1,0,0,28,1.0,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,2,2,0,0,1.0,0,0,0,0,0
