season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2021,1,NE,REG,MIA,29,39,281,1,0,1,-13,1,0,239,119,14,12.532951828922847,7.572427156724426,0,30,125,0,1,1,8,-4.9863849298562855,0,29,38,281,1,2,1,239,119,14,9.17304785452248,0,0,25,11,13,4,19,0,2.0,17.0,4,1,0,4,0,0,0,0,2,2,0,0,0,8,84,4,3,20,2,40,3,3,0,0,42,1.0,0,1,1,1,0,0,0,0,0,0,0,0,27;42;33,,,102,0,0,1,1,0,0,1.0,0,0,0,0,0
2021,2,NE,REG,NYJ,22,30,186,0,0,3,-27,1,0,140,118,9,-4.378398055847251,5.4227246769836945,0,24,101,2,0,0,7,1.291484084185873,0,22,28,186,0,0,0,140,118,9,3.600983153904007,0,0,46,2,18,6,31,0,4.0,26.0,7,4,24,8,0,0,0,0,1,1,0,0,0,6,54,3,0,0,1,18,4,4,0,0,49,1.0,0,1,1,2,0,0,0,0,0,0,0,0,46;49;32;26,,,153,0,0,1,2,1,0,0.5,0,0,0,0,0
2021,3,NE,REG,NO,30,51,270,1,3,2,-19,0,0,633,87,10,-16.88236440998653,-1.0197966998698704,0,17,49,0,0,0,5,-1.806866937840823,0,30,51,270,1,0,0,633,87,10,-13.224923045618105,0,0,40,7,19,4,18,0,3.0,18.0,7,0,0,1,0,0,0,0,0,0,0,0,0,4,30,5,3,30,0,0,2,2,0,0,45,1.0,0,1,0,1,0,0,0,0,0,0,0,0,45;26,,,71,0,0,1,1,0,0,1.0,0,0,0,0,0
2021,4,NE,REG,TB,33,42,320,2,1,4,-25,0,0,217,171,16,4.305274739628711,9.320718830540063,0,8,-1,0,0,0,1,-3.425334646482952,0,33,42,320,2,1,1,217,171,16,4.607314154622198,0,0,44,5,17,1,8,0,1.0,8.0,3,0,0,2,0,0,0,0,0,0,0,0,0,8,77,4,2,17,1,25,1,2,1,0,27,0.5,0,1,0,0,0,0,0,0,0,0,1,0,27,56,,27,56,0,2,2,0,0,1.0,0,1,1,0,56
2021,5,NE,REG,HOU,23,30,231,1,1,1,-5,0,0,235,87,12,8.8406267174182,12.931793608835768,0,30,126,1,1,1,7,-8.015197527982764,0,23,28,231,1,0,0,235,87,12,9.884911485374335,0,0,31,6,28,4,24,0,3.0,19.0,5,0,0,1,0,0,0,0,0,0,1,1,0,5,27,5,1,13,3,65,4,4,0,0,52,1.0,0,1,1,0,2,0,0,0,0,0,0,0,52;52;32;21,,,157,0,0,1,2,1,0,0.5,1,1,0,0,21
2021,6,NE,REG,DAL,15,21,229,2,1,2,-14,1,1,172,98,9,-3.2449553656768986,6.942570493334818,1,27,120,2,0,0,6,2.617086512676906,0,15,21,229,2,0,0,172,98,9,4.350577024146449,1,0,54,15,19,1,1,2,0.0,0.0,4,1,29,7,0,0,0,0,0,0,1,1,0,5,47,5,1,23,2,47,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2021,7,NE,REG,NYJ,28,41,411,3,0,1,-8,0,0,340,244,17,25.886590155798988,2.6595848362620353,0,32,148,4,0,0,12,7.913871815340826,0,28,40,411,3,0,0,340,244,17,28.981469470974453,0,0,36,3,21,4,21,1,2.0,16.0,6,2,14,7,0,0,0,0,0,0,1,1,0,6,95,3,2,30,2,57,2,2,0,0,50,1.0,0,0,1,0,1,0,0,0,0,0,0,0,39;50,,,89,0,0,6,7,1,0,0.8571428571428571,0,0,0,0,0
2021,8,NE,REG,LAC,18,35,217,0,0,1,-7,0,0,334,75,10,-1.0934484738752,-10.950329812134013,1,39,142,1,0,0,10,0.4472577697597444,0,18,34,217,0,1,1,334,75,10,-1.038546780742494,1,0,29,5,21,2,9,0,3.0,17.0,8,2,38,8,1,0,0,0,0,0,0,0,0,4,30,3,4,80,1,26,4,4,0,0,48,1.0,0,1,1,2,0,0,0,0,0,0,0,0,24;48;48;30,,,150,0,0,1,1,0,0,1.0,0,0,0,0,0
2021,9,NE,REG,CAR,12,18,139,1,1,2,-17,1,1,101,91,5,-3.6108362397565905,-1.2873550256093358,0,39,151,1,1,0,10,-1.508594625396654,0,12,18,139,1,0,0,101,91,5,2.7896763060786363,0,0,33,1,25,3,15,1,1.0,10.0,3,3,89,8,1,1,0,0,2,2,0,0,0,6,35,3,3,42,1,30,1,2,1,0,37,0.5,0,0,1,0,0,0,0,0,0,0,1,0,37,54,,37,54,0,3,3,0,0,1.0,0,0,0,0,0
2021,10,NE,REG,CLE,22,26,283,4,0,2,-15,0,0,179,146,17,23.89035834569146,20.91612482070923,0,34,184,2,0,0,10,5.823522517457604,0,22,25,283,4,0,0,179,146,17,28.358148561607926,0,0,31,16,24,3,13,2,5.0,36.0,9,1,37,5,0,0,0,0,0,0,0,0,0,6,46,4,0,0,2,39,1,1,0,0,38,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,6,6,0,0,1.0,0,0,0,0,0
2021,11,NE,REG,ATL,22,26,207,1,1,3,-33,0,0,162,103,7,-2.648283790130492,12.21656845166133,0,30,134,0,0,0,9,-3.78816344468802,0,22,26,207,1,0,0,162,103,7,2.9221340290348223,0,0,27,10,30,4,33,0,4.0,33.0,12,4,38,7,1,0,0,0,0,0,0,0,0,5,59,4,3,17,0,0,4,4,0,0,53,1.0,0,0,2,1,1,0,0,0,0,0,0,0,32;44;53;33,,,162,0,0,1,2,1,0,0.5,0,0,0,0,0
2021,12,NE,REG,TEN,23,32,310,2,0,2,-21,0,0,238,175,15,14.341584726286223,8.334733173251152,0,24,105,1,0,0,6,-0.9704328746258453,0,23,32,310,2,0,0,238,175,15,18.312283306548473,0,0,31,10,32,2,9,4,2.0,8.0,4,1,0,9,0,0,0,0,0,0,3,3,0,4,35,4,2,23,3,84,5,6,1,0,52,0.8333333333333334,0,2,1,1,1,0,0,0,0,0,1,0,22;37;44;28;52,53,,183,53,0,3,3,0,0,1.0,0,0,0,0,0
2021,13,NE,REG,BUF,2,3,19,0,0,0,0,0,0,15,12,1,0.035594736225903034,-5.489613612492878,0,46,222,1,1,0,11,0.15361813234730848,1,2,3,19,0,0,0,15,12,1,0.035594736225903034,0,0,27,10,18,2,14,0,2.0,14.0,5,0,0,5,0,1,0,0,1,2,1,1,0,6,47,4,1,0,0,0,2,2,0,0,41,1.0,0,0,1,1,0,0,0,0,0,0,0,0,41;34,,,75,0,0,0,0,0,0,,0,0,0,0,0
2021,15,NE,REG,IND,26,45,299,2,2,1,-15,0,0,478,88,15,-0.7569219273809318,-4.482229799032211,0,19,81,0,1,0,4,-4.549264176806901,0,26,44,299,2,0,0,478,88,15,1.9868523107780174,0,0,23,12,34,3,14,0,1.0,8.0,1,1,0,6,0,2,0,0,1,1,0,0,0,8,50,4,1,1,1,20,1,1,0,0,25,1.0,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,2,2,0,0,1.0,0,0,0,0,0
2021,16,NE,REG,BUF,14,32,145,0,2,1,-6,0,0,314,64,7,-3.0969632330234163,-18.90870231774546,0,27,149,3,1,0,12,8.65748930373229,0,14,31,145,0,0,0,314,64,7,-0.27188220428070053,0,0,41,7,29,1,1,0,0.0,0.0,4,0,0,4,0,0,0,0,1,2,0,0,0,3,30,4,0,0,2,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2021,17,NE,REG,JAX,25,34,290,3,0,0,0,0,0,248,157,15,22.28717584940909,8.22565528479489,0,36,181,4,0,0,16,7.14764954698342,0,25,33,290,3,0,0,248,157,15,22.660904393802177,0,0,28,4,22,3,25,0,2.0,20.0,3,3,53,5,0,0,0,0,1,1,0,0,0,3,30,1,0,0,3,50,1,1,0,0,43,1.0,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,5,6,0,1,0.8333333333333334,0,0,0,0,0
