season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2008,1,NYG,REG,WAS,19,35,216,0,1,2,-16,0,0,319,31,10,1.4283183270017616,-6.223891412510591,0,32,154,1,0,0,10,0.7885199921806068,0,19,0,216,0,0,0,319,31,10,19.639903821866028,0,0,25,21,21,0,0,0,1.0,8.0,2,0,0,5,0,0,0,0,1,1,0,0,0,7,70,2,4,21,2,19,3,3,0,0,47,1.0,0,2,0,1,0,0,0,0,0,0,0,0,24;25;47,,,96,0,0,1,1,0,0,1.0,0,0,0,0,0
2008,2,NYG,REG,LA,20,29,260,3,0,2,-19,0,0,448,51,15,15.94562039650384,12.596016402902274,0,31,200,1,0,0,11,7.383027819980556,0,20,0,260,3,1,0,448,51,15,24.442387161407282,0,0,49,1,1,0,0,0,6.0,44.0,6,1,41,4,1,0,0,0,0,0,0,0,0,7,69,3,4,76,4,93,2,2,0,0,39,1.0,0,0,2,0,0,0,0,0,0,0,0,0,39;33,,,72,0,0,5,5,0,0,1.0,0,0,0,0,0
2008,3,NYG,REG,CIN,26,43,289,1,0,0,0,0,0,369,114,12,9.535116298350554,0.1815358442919595,0,25,117,1,0,0,8,-2.7432952046340895,0,26,0,289,1,0,0,369,114,12,21.385404346739975,0,0,49,18,18,0,0,1,6.0,41.0,5,0,0,8,0,0,0,0,0,0,0,0,0,6,40,6,5,48,4,112,4,4,0,0,46,1.0,0,3,0,1,0,0,0,0,0,0,0,0,24;46;26;22,,,118,0,0,2,2,0,0,1.0,1,1,0,0,22
2008,5,NYG,REG,SEA,20,26,272,3,0,1,-3,1,0,313,49,11,15.760215624739061,19.36308856193836,0,36,254,2,0,0,14,11.197765844699461,0,20,0,272,3,0,0,313,49,11,21.327636840022755,0,0,29,16,16,0,0,0,2.0,12.0,4,1,44,5,0,0,0,0,1,1,0,0,0,5,56,1,4,41,2,24,3,3,0,0,35,1.0,0,1,2,0,0,0,0,0,0,0,0,0,29;33;35,,,97,0,0,5,5,0,0,1.0,0,0,0,0,0
2008,6,NYG,REG,CLE,18,28,196,1,3,1,-4,0,0,314,64,14,-10.94884840096347,8.257487629141126,0,25,181,1,0,0,8,7.652665538713336,0,18,0,196,1,0,0,314,64,14,16.133697932295036,0,0,36,11,11,0,0,0,0.0,0.0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,38,6,0,0,4,68,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2008,7,NYG,REG,SF,16,31,161,1,0,0,0,0,0,185,107,7,-0.5426203955648896,-4.965613727216367,0,32,112,2,2,0,6,-3.1855324020434637,0,16,0,161,1,0,0,185,107,7,12.608300922089256,0,0,34,12,12,0,0,3,6.0,38.0,3,2,18,3,0,0,1,0,2,2,1,1,0,11,80,1,2,8,5,109,2,3,0,1,48,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,21;48,,35,69,0,35,3,3,0,0,1.0,0,0,0,0,0
2008,8,NYG,REG,PIT,19,32,199,1,0,0,0,0,0,206,110,9,6.691553856254348,-5.390850454568863,0,35,83,0,1,0,6,-10.76806809208938,0,19,0,199,1,0,0,206,110,9,16.744471060808856,0,0,28,8,24,0,0,2,5.0,35.0,4,4,30,9,0,1,1,0,2,2,0,0,0,7,71,4,3,28,3,76,4,4,0,0,35,1.0,0,3,1,0,0,0,0,0,0,0,0,0,26;35;25;24,,,110,0,0,1,1,0,0,1.0,0,0,0,0,0
2008,9,NYG,REG,DAL,16,27,147,3,1,4,-28,2,2,206,34,8,-9.409424162673531,-2.5676443620964333,0,34,200,2,0,0,12,7.459804538375465,0,16,0,147,3,1,0,206,34,8,16.530454234190984,0,0,29,20,20,0,0,1,4.0,32.0,7,3,67,6,0,0,0,0,1,1,1,1,0,8,65,4,3,13,3,54,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2008,10,NYG,REG,PHI,17,31,191,2,1,1,-9,0,0,160,75,13,2.907004061449521,-5.644717908674671,0,45,219,2,3,1,11,2.8964973955612185,0,17,0,191,2,0,0,160,75,13,19.083804559472018,0,0,38,1,5,0,0,1,0.0,0.0,2,1,21,4,0,0,0,0,1,1,1,1,0,4,30,4,2,45,4,79,3,3,0,0,28,1.0,0,3,0,0,0,0,0,0,0,0,0,0,27;26;28,,,81,0,0,3,3,0,0,1.0,0,0,0,0,0
2008,11,NYG,REG,BAL,13,23,153,1,1,1,-7,0,0,162,81,11,4.86747704987647,-1.0606614026156338,0,33,207,2,0,0,9,1.0086751895366626,0,13,0,153,1,0,0,162,81,11,16.14713947864948,0,0,39,14,14,0,0,1,1.0,10.0,3,2,60,4,1,0,0,0,0,0,0,0,0,8,65,3,0,0,3,53,1,1,0,0,19,1.0,1,0,0,0,0,0,0,0,0,0,0,0,19,,,19,0,0,3,3,0,0,1.0,0,0,0,0,0
2008,12,NYG,REG,ARI,26,33,240,3,0,1,-6,0,0,292,124,11,13.63779292323569,18.704494472705957,0,27,87,1,0,0,7,-1.6132463605860337,0,26,0,240,3,0,0,292,124,11,20.29257807235777,0,0,51,4,4,0,0,1,1.0,3.0,12,1,13,6,0,0,0,29,0,0,1,1,0,9,76,4,2,21,3,180,3,3,0,0,33,1.0,0,1,2,0,0,0,0,0,0,0,0,0,33;27;33,,,93,0,0,4,4,0,0,1.0,0,0,0,0,0
