season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2000,1,OAK,REG,LV,20,35,176,1,0,4,-10,0,0,0,176,10,,,0,25,67,0,1,0,2,,0,20,35,176,1,0,0,0,0,10,,0,0,38,13,13,6,20,1,2.0,18.0,1,3,41,11,0,0,1,0,2,2,1,1,0,8,60,2,3,12,3,65,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,41,,0,41,0,1,1,0,0,1.0,0,0,0,0,0
2000,2,OAK,REG,IND,15,22,207,0,0,0,0,0,0,0,207,11,,,0,38,152,5,0,0,10,,0,15,22,207,0,1,0,0,0,11,,0,0,43,15,15,4,18,1,2.0,16.0,2,2,25,7,0,0,0,0,1,1,1,1,0,5,35,2,2,36,4,77,1,2,1,0,24,0.5,0,1,0,0,0,0,0,0,0,0,1,0,24,50,,24,50,0,5,5,0,0,1.0,0,0,0,0,0
2000,3,OAK,REG,DEN,13,21,159,2,2,4,-19,1,1,30,159,10,,,0,19,123,0,1,1,5,,0,13,21,159,2,0,0,30,0,10,,0,1,47,17,17,4,12,0,1.0,6.0,1,0,0,5,0,0,0,3,0,0,1,1,0,5,51,4,0,0,7,161,1,2,1,0,19,0.5,1,0,0,0,0,0,0,0,0,1,0,0,19,49,,19,49,0,3,3,0,0,1.0,0,0,0,0,0
2000,4,OAK,REG,CLE,14,25,179,0,0,1,0,0,0,0,179,8,,,0,36,113,3,0,0,9,,0,14,25,179,0,0,0,0,0,8,,0,0,39,11,11,7,30,0,3.0,15.0,3,2,58,7,0,0,1,0,0,0,0,0,0,5,40,1,3,13,1,14,2,2,0,0,37,1.0,0,0,2,0,0,0,0,0,0,0,0,0,37;31,,,68,0,0,4,4,0,0,1.0,0,0,0,0,0
2000,6,OAK,REG,SF,21,43,310,2,1,1,-3,0,0,6,310,12,,,0,33,164,2,1,1,12,,1,21,43,310,2,0,0,6,0,12,,0,0,51,0,22,3,6,2,0.0,0.0,0,0,0,3,0,0,0,0,0,0,2,2,0,9,69,1,1,12,4,90,2,4,2,0,35,0.5,0,1,1,0,0,0,0,0,1,1,0,0,23;35,41;35,,58,76,0,2,2,0,0,1.0,0,0,0,0,0
2000,7,OAK,REG,KC,28,33,244,2,0,2,-14,0,0,0,244,13,,,0,33,161,0,1,1,12,,0,28,33,244,2,0,0,0,0,13,,0,0,38,5,5,1,1,1,1.0,0.0,0,0,0,2,0,0,0,0,0,1,1,1,0,8,69,4,1,17,4,106,2,4,2,0,47,0.5,0,0,0,2,0,0,0,0,0,1,1,0,47;43,47;59,,90,106,0,2,2,0,0,1.0,0,0,0,0,0
2000,8,OAK,REG,LV,15,22,176,3,1,1,-2,1,0,23,176,9,,,0,27,206,1,0,0,5,,0,15,22,176,3,0,0,23,0,9,,0,0,34,21,21,4,7,1,2.0,3.0,2,1,0,8,0,0,0,0,1,1,2,2,0,10,90,1,1,0,1,15,1,1,0,0,32,1.0,0,0,1,0,0,0,0,0,0,0,0,0,32,,,32,0,0,4,4,0,0,1.0,0,0,0,0,0
2000,9,OAK,REG,LV,16,35,156,0,1,1,-11,0,0,3,156,10,,,0,28,83,0,0,0,3,,0,16,35,156,0,0,0,3,0,10,,0,0,45,9,9,5,39,2,3.0,27.0,3,1,0,2,0,0,0,0,0,0,1,1,0,8,50,3,4,35,3,75,5,6,1,0,54,0.8333333333333334,0,2,0,2,1,0,0,0,0,1,0,0,40;40;54;29;24,42,,187,42,0,0,0,0,0,,1,1,0,0,24
2000,10,OAK,REG,KC,20,31,242,4,0,0,0,0,0,0,242,18,,,0,42,231,3,0,0,11,,0,20,31,242,4,0,0,0,0,18,,0,0,44,10,13,5,31,1,4.0,30.0,5,2,47,6,0,0,0,0,0,0,1,1,0,9,81,3,3,38,5,137,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,33,,0,33,0,7,7,0,0,1.0,0,0,0,0,0
2000,11,OAK,REG,LV,30,53,382,1,2,4,-9,1,1,16,382,19,,,0,18,38,2,0,0,5,,0,30,51,382,1,1,0,16,0,19,,0,0,51,5,9,3,12,2,1.0,8.0,1,1,1,4,0,0,0,0,1,1,1,1,0,9,54,6,3,24,5,122,1,1,0,0,19,1.0,1,0,0,0,0,0,0,0,0,0,0,0,19,,,19,0,0,3,3,0,0,1.0,0,0,0,0,0
2000,12,OAK,REG,LV,14,21,168,2,0,5,-34,1,1,0,168,8,,,0,36,159,2,0,0,9,,0,14,18,168,2,0,0,0,0,8,,0,0,42,13,13,6,52,0,3.0,26.0,3,1,0,4,0,0,0,0,0,0,0,0,0,5,32,2,4,36,5,122,1,1,0,0,49,1.0,0,0,0,1,0,0,0,0,0,0,0,0,49,,,49,0,0,4,4,0,0,1.0,0,0,0,0,0
2000,13,OAK,REG,ATL,15,22,231,2,0,2,-9,1,0,0,231,6,,,0,38,270,2,1,1,17,,0,15,22,231,2,0,0,0,0,6,,0,1,29,14,14,7,35,2,6.0,32.0,5,1,15,4,0,0,0,0,1,1,1,1,0,12,108,3,3,3,3,136,2,2,0,0,35,1.0,0,1,1,0,0,0,0,0,0,0,0,0,24;35,,,59,0,0,5,5,0,0,1.0,0,0,0,0,0
2000,14,OAK,REG,LV,21,40,273,1,0,0,0,0,0,0,273,14,,,0,28,117,0,2,2,6,,0,21,38,273,1,0,0,0,0,14,,0,0,48,8,14,9,41,2,5.0,31.0,5,1,27,6,0,0,0,0,0,0,0,0,0,3,31,4,2,32,4,80,2,3,1,0,42,0.6666666666666666,0,0,0,2,0,0,0,0,0,1,0,0,40;42,44,,82,44,0,2,2,0,0,1.0,0,0,0,0,0
2000,15,OAK,REG,NYJ,11,23,161,2,1,2,-11,0,0,11,161,7,,,0,38,180,1,1,0,10,,0,11,23,161,2,0,0,11,0,7,,0,0,46,9,11,9,43,0,5.0,25.0,6,4,72,11,0,0,0,0,1,1,0,0,0,7,60,1,5,48,1,23,1,1,0,0,32,1.0,0,0,1,0,0,0,0,0,0,0,0,0,32,,,32,0,0,4,4,0,0,1.0,0,0,0,0,0
2000,16,OAK,REG,LV,5,17,136,1,3,1,-2,1,0,33,136,4,,,0,42,227,2,0,0,9,,0,5,14,136,1,0,0,33,0,4,,0,0,48,14,14,9,35,3,3.0,24.0,2,1,0,3,0,0,0,0,1,1,1,1,0,7,45,4,1,15,3,64,1,2,1,0,25,0.5,0,1,0,0,0,0,0,0,0,0,1,0,25,50,,25,50,0,3,3,0,0,1.0,0,0,0,0,0
2000,17,OAK,REG,LV,26,32,230,5,0,0,0,0,0,0,230,18,,,0,39,179,0,0,0,9,,0,26,31,230,5,0,0,0,0,18,,0,0,27,13,15,3,12,2,2.0,17.0,3,1,37,9,0,0,0,0,0,0,3,3,1,7,60,3,1,36,3,49,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,7,7,0,0,1.0,0,0,0,0,0
