season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2002,1,PHI,REG,TEN,18,36,212,3,2,6,-31,1,1,11,212,11,-4.1130666908145095,,0,22,80,0,0,0,5,0.834019193018321,0,18,36,212,3,0,0,11,0,11,5.009146223062356,0,0,36,11,17,6,24,3,1.0,2.0,1,1,1,2,0,0,0,0,0,0,3,3,0,10,113,4,2,17,4,99,1,1,0,0,30,1.0,0,0,1,0,0,0,0,0,0,0,0,0,30,,,30,0,0,3,3,0,0,1.0,0,0,0,0,0
2002,2,PHI,REG,WAS,26,38,292,2,0,2,-9,0,0,0,292,14,8.273300394509722,,0,28,168,2,0,0,7,6.073960134526715,0,26,36,292,2,0,0,0,0,14,11.679777064745585,0,0,33,0,18,6,27,1,4.0,29.0,5,2,1,8,0,0,0,0,0,0,1,1,0,4,30,4,3,69,2,45,3,3,0,0,47,1.0,0,1,0,2,0,0,0,0,0,0,0,0,22;40;47,,,109,0,0,4,4,0,0,1.0,0,0,0,0,0
2002,3,PHI,REG,DAL,26,40,309,4,0,3,-15,0,0,0,309,14,10.079198418839212,,0,26,153,1,3,1,8,1.3572941974853165,0,26,39,309,4,1,1,0,0,14,10.28742574727147,0,0,45,1,23,4,17,2,3.0,18.0,2,1,29,5,0,0,0,0,2,2,3,3,0,3,25,6,4,43,3,99,3,3,0,0,51,1.0,0,1,1,0,1,0,0,0,0,0,0,0,51;20;32,,,103,0,0,5,5,0,0,1.0,0,0,0,0,0
2002,4,PHI,REG,HOU,25,44,316,2,1,3,-27,1,0,21,316,11,7.869330278596223,,1,29,102,2,0,0,8,1.6236578324460424,0,25,44,316,2,2,2,21,0,11,1.5648640363927342,1,0,48,0,18,10,42,2,7.0,37.0,5,2,27,9,0,1,0,0,2,2,1,1,0,4,32,5,5,20,4,75,2,2,0,0,41,1.0,0,1,0,1,0,0,0,0,0,0,0,0,25;41,,,66,0,0,3,3,0,0,1.0,0,0,0,0,0
2002,5,PHI,REG,JAX,41,71,427,3,0,6,-23,0,0,0,427,25,1.4272009843006739,,1,57,269,2,0,0,17,10.697093873532257,1,41,69,427,3,0,0,0,0,25,9.537641439735983,1,1,97,3,11,6,26,0,6.0,23.0,6,0,0,8,3,0,0,0,0,0,0,0,0,14,96,9,5,113,6,114,3,3,0,0,34,1.0,0,0,3,0,0,0,0,0,0,0,0,0,34;31;31,,,96,0,0,4,4,0,0,1.0,0,0,0,0,0
2002,7,PHI,REG,TB,12,25,127,1,1,2,-17,1,1,14,127,5,-13.218041162559842,,0,34,159,1,0,0,8,-2.4108459525741637,0,12,25,127,1,0,0,14,0,5,-4.763243887977158,0,0,54,1,11,7,34,4,6.0,29.0,5,1,0,7,0,2,0,0,2,2,1,1,0,8,56,3,6,61,3,83,2,2,0,0,36,1.0,0,0,2,0,0,0,0,0,0,0,0,0,30;36,,,66,0,0,2,2,0,0,1.0,0,0,0,0,0
2002,8,PHI,REG,NYG,14,30,137,0,0,1,-10,0,0,0,137,7,-3.425697272277712,,1,40,295,1,0,0,14,11.888139285572276,0,14,30,137,0,1,0,0,0,7,-1.865473003575853,1,0,41,0,16,2,7,2,1.0,6.0,0,0,0,9,0,0,0,0,1,1,0,0,0,9,65,1,2,19,2,37,3,4,1,0,36,0.75,0,1,2,0,0,0,0,0,0,0,1,0,27;36;35,50,,98,50,0,0,0,0,0,,0,0,0,0,0
2002,9,PHI,REG,CHI,18,33,209,0,1,3,-17,0,0,7,209,7,-2.5538346545676824,,0,37,117,1,1,0,10,-4.22583192787481,0,18,32,209,0,0,0,7,0,7,1.1604327523359905,0,0,48,4,4,5,25,0,3.0,19.0,3,0,0,6,0,0,0,0,1,1,1,1,0,6,54,4,5,67,3,68,4,4,0,0,36,1.0,0,3,1,0,0,0,0,0,0,0,0,0,23;36;27;22,,,108,0,0,1,1,0,0,1.0,0,0,0,0,0
2002,10,PHI,REG,IND,27,48,281,1,0,2,-12,1,1,0,281,14,-8.4829826886129,,0,22,105,0,2,1,7,-7.894581928441767,0,27,48,281,1,0,0,0,0,14,-1.6311172923600648,0,0,49,0,12,10,34,1,0.0,0.0,0,0,0,3,0,0,0,0,1,1,1,1,0,3,25,4,2,8,6,167,2,2,0,0,34,1.0,0,1,1,0,0,0,0,0,0,0,0,0,34;20,,,54,0,0,1,1,0,0,1.0,0,0,0,0,0
2002,11,PHI,REG,ARI,20,25,255,4,1,1,-5,1,1,29,255,12,13.42436925205402,,0,43,212,1,0,0,15,3.626739204247472,0,20,24,255,4,1,0,29,0,12,23.369109674356878,0,0,41,0,18,4,32,0,4.0,39.0,5,1,3,9,0,0,0,0,1,1,0,0,0,8,88,0,1,4,3,95,1,1,0,0,34,1.0,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,5,5,0,0,1.0,0,0,0,0,0
