season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2018,1,PIT,REG,CLE,23,41,335,1,3,4,-22,2,2,382,213,17,-6.687471224036439,-9.987981544762123,0,35,159,2,1,1,8,-5.141361285641324,0,23,41,335,1,0,0,382,213,17,4.213683063705081,0,0,53,0,26,9,52,1,7.0,47.0,11,1,0,10,0,0,0,0,0,0,0,0,0,12,116,6,5,56,3,69,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,42,,0,42,0,3,3,0,0,1.0,0,0,0,0,0
2018,2,PIT,REG,KC,39,60,452,3,0,1,-10,0,0,537,266,25,15.135606445293782,0.6479359169801077,1,13,33,2,0,0,2,1.0398175329901278,0,39,60,452,3,0,0,537,266,25,16.91622114802329,1,0,30,7,15,3,7,2,1.0,4.0,5,0,0,1,0,0,1,0,1,1,1,1,0,12,90,5,1,6,4,67,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,49,,0,49,0,3,4,1,0,0.75,0,0,0,0,0
2018,3,PIT,REG,TB,30,38,353,3,1,3,-18,1,0,267,213,16,12.520667470851526,12.645195062096054,0,22,78,0,0,0,3,-5.451149663887918,0,30,37,353,3,0,0,267,213,16,18.19152262464687,0,0,44,5,7,3,19,1,3.0,19.0,13,3,45,10,1,0,0,0,1,1,1,1,0,13,155,4,1,16,1,21,1,2,1,0,38,0.5,0,0,1,0,0,0,0,0,0,1,0,0,38,47,,38,47,0,3,4,1,0,0.75,0,0,0,0,0
2018,4,PIT,REG,BAL,27,47,274,1,1,1,-9,0,0,332,141,12,-5.851337649511663,-9.714536627997523,1,11,19,0,0,0,1,-4.084935025195591,0,27,46,274,1,1,1,332,141,12,-7.635321373004956,1,0,45,9,23,2,8,1,2.0,8.0,2,0,0,1,0,0,0,0,0,0,1,1,0,5,40,5,1,3,4,80,2,2,0,0,39,1.0,0,0,2,0,0,0,0,0,0,0,0,0,34;39,,,73,0,0,0,0,0,0,,0,0,0,0,0
2018,5,PIT,REG,ATL,19,29,250,3,1,0,0,0,0,234,127,11,10.397446055430919,3.277689115754489,0,29,131,2,1,0,9,2.81143063592026,0,19,29,250,3,0,0,234,127,11,10.397446055430919,0,0,44,6,22,7,35,1,6.0,43.0,14,0,0,0,0,0,0,0,0,0,1,1,1,7,58,2,0,0,1,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,6,1,0,0.8333333333333334,0,0,0,0,0
2018,6,PIT,REG,CIN,32,46,369,1,0,0,0,0,0,401,204,16,20.10177144029413,3.1273644500308566,1,21,112,2,0,0,7,1.5445696116618413,0,32,45,369,1,1,0,401,203,16,20.921554833122087,1,0,34,0,12,4,17,0,3.0,16.0,4,0,0,6,0,0,0,0,1,1,0,0,0,9,69,4,2,22,2,48,2,2,0,0,24,1.0,0,2,0,0,0,0,0,0,0,0,0,0,21;24,,,45,0,0,2,2,0,0,1.0,0,0,0,0,0
2018,8,PIT,REG,CLE,24,36,257,2,1,1,-4,0,0,291,120,14,7.951697156204814,6.497777230811842,0,31,168,2,1,0,10,5.343914402881637,0,24,33,257,2,1,1,291,120,14,6.468419323231997,0,0,35,5,21,7,24,0,2.0,17.0,7,1,0,4,0,0,1,0,2,2,0,0,0,8,60,4,3,46,2,23,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,4,4,0,0,1.0,0,0,0,0,0
2018,9,PIT,REG,BAL,29,48,292,2,0,1,-10,0,0,321,148,18,19.147194807663556,-4.172472007896589,0,27,113,1,0,0,8,-2.2526515016215853,0,29,46,292,2,0,0,321,148,18,20.919183476608243,0,0,34,4,12,5,14,0,2.0,14.0,6,0,0,3,0,0,0,0,0,0,0,0,0,8,103,3,3,17,1,31,1,1,0,0,29,1.0,0,1,0,0,0,0,0,0,0,0,0,0,29,,,29,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2018,10,PIT,REG,CAR,23,27,325,5,0,1,-6,0,0,121,225,14,25.450137711541423,14.041930988982871,0,30,138,1,0,0,10,0.5716889835312031,0,23,27,325,5,0,0,121,225,14,26.618776822524772,0,0,40,7,19,7,52,2,5.0,46.0,7,1,17,2,1,0,0,0,1,1,1,1,0,1,24,3,1,10,1,10,1,1,0,0,50,1.0,0,0,0,0,1,0,0,0,0,0,0,0,50,,,50,0,0,7,7,0,0,1.0,0,0,0,0,0
2018,11,PIT,REG,JAX,27,47,314,2,3,2,-17,0,0,387,139,10,-8.512335755207342,-4.894096785121494,0,11,26,1,0,0,3,1.8995672604942229,0,27,45,314,2,0,0,387,139,10,-4.446143973866012,0,0,53,1,21,7,43,2,6.0,40.0,7,0,0,2,0,0,0,0,0,0,1,1,0,3,15,5,3,13,2,44,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
