season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2002,1,SD,REG,LAC,15,19,160,2,0,1,0,0,0,0,160,9,,,0,45,241,2,0,0,16,,0,15,19,160,2,0,0,0,0,9,,0,0,36,0,6,7,51,0,4.0,31.0,4,1,0,4,0,0,0,0,0,0,0,0,0,4,39,4,3,33,2,44,2,2,0,0,28,1.0,0,2,0,0,0,0,0,0,0,0,0,0,28;27,,,55,0,0,4,4,0,0,1.0,0,0,0,0,0
2002,2,SD,REG,LAC,15,28,163,1,1,2,-20,0,0,42,163,7,,,0,35,124,1,0,0,8,,0,15,28,163,1,0,0,42,0,7,,0,0,41,9,9,10,50,2,9.0,58.0,8,2,50,7,0,0,0,0,1,1,1,1,1,4,35,3,6,-2,2,43,1,1,0,0,36,1.0,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,3,3,0,0,1.0,0,0,0,0,0
2002,3,SD,REG,LAC,17,31,181,0,1,2,-17,0,0,2,181,12,,,0,34,125,2,0,0,7,,0,17,30,181,0,0,0,2,0,12,,0,0,28,13,13,3,29,1,3.0,29.0,3,2,60,7,0,0,1,0,0,0,1,1,0,8,80,4,2,22,4,94,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,,50,,0,50,0,3,3,0,0,1.0,0,0,0,0,0
2002,4,SD,REG,NE,10,18,104,1,0,0,0,0,0,0,104,3,,,0,34,238,2,0,0,11,,0,10,17,104,1,1,1,0,0,3,,0,0,48,11,11,3,7,1,0.0,0.0,0,2,62,5,0,0,0,0,0,0,1,1,0,2,20,5,0,0,3,70,0,1,0,1,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,50,0,0,50,3,3,0,0,1.0,0,0,0,0,0
2002,5,SD,REG,LAC,26,42,235,1,2,0,0,0,0,6,235,11,,,0,18,79,0,0,0,5,,0,26,42,235,1,1,1,6,0,11,,0,0,53,1,7,3,17,0,2.0,16.0,2,1,2,2,0,0,0,0,1,1,0,0,0,5,41,4,2,4,4,83,1,1,0,0,24,1.0,0,1,0,0,0,0,0,0,0,0,0,0,24,,,24,0,0,0,0,0,0,,0,0,0,0,0
2002,6,SD,REG,KC,28,41,319,2,2,1,-7,0,0,43,319,16,,,0,28,153,3,0,0,10,,0,28,41,319,2,2,2,43,0,16,,0,0,35,13,13,5,16,0,1.0,5.0,1,2,26,5,0,0,0,0,0,0,0,0,0,4,35,6,3,14,7,173,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2002,7,SD,REG,LV,16,25,170,2,0,2,-9,0,0,0,170,11,,,0,42,172,2,1,0,12,,0,16,24,170,2,0,0,0,0,11,,0,0,42,9,11,2,4,0,3.0,8.0,4,1,13,8,0,0,0,0,1,1,0,0,0,10,97,6,1,10,4,86,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2002,9,SD,REG,LAC,22,35,192,1,2,2,-22,1,0,27,192,8,,,0,14,73,1,0,0,4,,0,22,35,192,1,0,0,27,0,8,,0,0,54,9,9,3,15,0,2.0,5.0,2,0,0,4,0,0,0,0,1,1,0,0,0,8,55,4,1,13,9,180,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,2,0,1,0.5,0,0,0,0,0
2002,10,SD,REG,LA,12,20,139,0,2,1,-9,0,0,45,139,7,,,0,29,126,1,0,0,7,,0,12,20,139,0,0,0,45,0,7,,0,0,52,2,2,2,2,4,0.0,0.0,0,0,0,2,0,0,0,0,0,0,4,4,2,12,82,4,3,33,3,99,1,1,0,0,41,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,3,3,0,0,1.0,0,0,0,0,0
2002,11,SD,REG,LAC,29,50,336,2,1,0,0,0,0,4,336,18,,,0,28,105,0,1,0,5,,0,29,50,336,2,0,0,4,0,18,,0,0,47,15,15,3,8,0,1.0,6.0,1,1,0,6,0,0,0,0,1,1,0,0,0,5,36,6,4,21,4,116,2,3,0,1,40,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,36;40,,44,76,0,44,2,2,0,0,1.0,1,1,0,0,40
