season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2013,1,SEA,REG,CAR,25,33,320,1,0,2,-20,1,1,293,103,13,11.688899634273866,13.281697314232588,0,26,70,0,0,0,4,-8.304470664763357,0,25,32,320,1,0,0,293,103,13,18.45571151269428,0,0,34,0,16,1,6,2,1.0,6.0,2,0,0,2,0,0,0,0,0,0,2,2,0,9,99,0,4,48,0,0,2,2,0,0,40,1.0,0,1,0,1,0,0,0,0,0,0,0,0,27;40,,,67,0,0,0,0,0,0,,0,0,0,0,0
2013,2,SEA,REG,SF,8,19,142,1,1,4,-24,0,0,224,52,5,1.0446117709944827,-10.776393553789925,0,47,172,2,1,0,12,-7.679017154616304,0,8,17,142,1,0,0,224,52,5,7.103571703477398,0,0,23,2,22,2,16,2,3.0,20.0,5,3,69,8,0,0,1,0,1,2,2,2,0,10,84,1,2,31,1,24,2,2,0,0,37,1.0,0,0,2,0,0,0,0,0,0,0,0,0,30;37,,,67,0,0,3,3,0,0,1.0,0,0,0,0,0
2013,3,SEA,REG,JAX,21,29,331,5,1,2,-8,1,1,367,110,16,12.494311195914634,17.861758326662,0,36,156,1,0,0,10,-2.5423191692059897,0,21,29,331,5,0,0,367,110,16,19.057461201911792,0,0,28,4,32,6,25,0,3.0,21.0,8,2,32,6,0,0,0,0,0,0,1,1,0,4,24,2,4,33,2,45,1,1,0,0,21,1.0,0,1,0,0,0,0,0,0,0,0,0,0,21,,,21,0,0,6,6,0,0,1.0,0,0,0,0,0
2013,4,SEA,REG,HOU,12,23,123,0,1,5,-32,0,0,169,67,6,-7.361764238229786,-10.567560468031012,0,30,179,1,2,1,7,-1.4006481196847744,0,12,23,123,0,0,0,169,67,6,-0.75290683588462,0,0,65,1,11,6,35,2,4.0,30.0,12,2,58,9,1,0,0,0,2,3,1,1,0,9,62,6,4,60,3,55,3,3,0,0,48,1.0,0,0,1,2,0,0,0,0,0,0,0,0,48;39;45,,,132,0,0,2,2,0,0,1.0,1,1,0,0,45
2013,5,SEA,REG,IND,15,31,210,2,1,2,-5,1,1,340,134,10,6.676590235709215,-8.969913086583535,0,34,218,0,0,0,11,7.0559067016785235,0,15,31,210,2,0,0,340,134,10,7.626280787904749,0,0,31,0,30,1,9,2,2.0,21.0,5,0,0,1,0,0,1,0,0,0,2,2,0,7,85,5,1,14,2,39,4,5,0,1,46,0.8,0,0,1,3,0,0,0,0,0,0,0,0,42;36;41;46,,48,165,0,48,2,2,0,0,1.0,0,0,0,0,0
2013,6,SEA,REG,TEN,23,31,257,0,0,2,-4,0,0,144,143,11,5.575530488341364,8.224620719750721,0,33,151,2,2,1,12,-4.477980214006087,0,23,30,257,0,2,1,144,143,11,1.8218034601367705,0,0,28,1,27,5,30,0,2.0,13.0,6,2,0,6,0,0,0,0,2,3,0,0,0,6,65,4,2,15,3,95,2,2,0,0,31,1.0,0,1,1,0,0,0,0,0,0,0,0,0,31;29,,,60,0,0,2,2,0,0,1.0,0,0,0,0,0
2013,7,SEA,REG,ARI,18,29,235,3,0,3,-26,3,2,241,77,14,3.3636968661169178,4.4123976395047935,0,32,135,1,0,0,6,-2.320860577048734,0,18,29,235,3,0,0,241,77,14,16.245424766589387,0,0,54,0,6,9,50,2,7.0,54.0,12,2,47,9,0,1,0,0,2,2,0,0,0,10,70,3,3,21,2,18,2,2,0,0,51,1.0,0,0,0,1,1,0,0,0,0,0,0,0,51;42,,,93,0,0,4,4,0,0,1.0,0,0,0,0,0
2013,8,SEA,REG,LA,10,18,139,2,0,7,-48,0,0,139,95,4,-6.118910007353406,-7.304512461026509,0,15,44,0,0,0,1,-4.402851564344019,0,10,18,139,2,0,0,139,95,4,5.232265199534595,0,0,61,0,2,4,20,1,3.0,19.0,5,2,46,4,0,2,0,0,0,0,0,0,0,10,83,3,3,9,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2013,9,SEA,REG,TB,19,26,217,2,2,0,0,0,0,155,90,11,5.644552890245199,12.17068364987007,0,35,198,1,0,0,13,4.941657106151729,0,19,26,217,2,0,0,155,90,11,5.644552890245199,0,0,34,4,46,2,18,0,3.0,25.0,6,0,0,1,0,0,0,0,0,0,0,0,0,6,67,4,3,92,3,56,2,2,0,0,36,1.0,0,1,1,0,0,0,0,0,0,0,0,0,36;27,,,63,0,0,3,3,0,0,1.0,1,1,0,0,27
2013,10,SEA,REG,ATL,19,26,287,2,0,1,-8,0,0,272,131,12,20.30112892311668,12.705113280277988,0,42,211,1,0,0,13,3.8858584187642133,0,19,26,287,2,0,0,272,131,12,22.490329636183063,0,0,37,0,6,3,10,1,2.0,10.0,4,0,0,4,0,0,0,0,0,0,1,1,0,9,80,4,3,55,1,22,4,4,0,0,53,1.0,0,0,1,2,1,0,0,0,0,0,0,0,39;43;44;53,,,179,0,0,3,3,0,0,1.0,0,0,0,0,0
