season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2018,1,SF,REG,MIN,15,33,261,1,3,3,-24,0,0,368,144,10,-13.548579723725075,-17.559345392510295,0,25,90,0,2,1,6,-8.591490788501687,0,15,32,261,1,0,0,368,144,10,-7.159997407935235,0,0,49,1,19,6,26,1,3.0,17.0,6,0,0,6,0,1,0,0,2,2,1,1,0,3,21,5,2,14,0,0,3,3,0,0,42,1.0,0,1,1,1,0,0,0,0,0,0,0,0,42;33;22,,,97,0,0,1,1,0,0,1.0,0,0,0,0,0
2018,2,SF,REG,DET,18,26,206,2,0,6,-50,0,0,152,94,13,4.388481060848342,-0.4397122859954834,0,28,190,1,1,0,7,3.2210934866584466,0,18,25,206,2,0,0,152,94,13,11.375684300013997,0,0,43,8,14,1,8,1,2.0,18.0,4,0,0,1,0,0,0,0,1,2,1,1,0,9,86,4,2,14,5,174,3,3,0,0,45,1.0,0,0,1,2,0,0,0,0,0,0,0,0,45;42;36,,,123,0,0,3,3,0,0,1.0,0,0,0,0,0
2018,3,SF,REG,KC,20,30,251,2,0,4,-23,2,0,272,130,12,8.675984731884967,-0.8458844820658366,1,29,178,1,0,0,12,7.022481614607386,0,20,30,251,2,0,0,272,130,12,13.288425331304609,1,0,44,0,12,5,16,1,2.0,7.0,9,0,0,4,0,0,0,0,3,3,0,0,0,14,147,6,1,1,1,23,2,2,0,0,39,1.0,0,0,2,0,0,0,0,0,0,0,0,0,39;35,,,74,0,0,1,2,1,0,0.5,0,0,0,0,0
2018,4,SF,REG,LAC,23,37,298,2,2,1,-10,0,0,205,170,13,-1.834534431195988,-3.2686626745594873,0,21,76,0,1,0,6,-2.2736167380911656,0,23,36,298,2,0,0,205,170,13,1.0336557468695728,0,0,40,2,24,3,10,1,1.0,8.0,3,1,32,3,1,0,0,0,1,2,0,0,0,4,29,5,2,5,4,91,2,2,0,0,33,1.0,0,1,1,0,0,0,0,0,0,0,0,0,21;33,,,54,0,0,3,3,0,0,1.0,0,0,0,0,0
2018,5,SF,REG,ARI,34,54,349,2,2,4,-49,2,2,260,245,22,-6.150313834989495,-7.624064385890961,0,34,147,1,1,1,10,-10.2069213013018,0,34,54,349,2,0,0,260,245,22,12.103805059703015,0,0,24,10,10,1,6,0,1.0,6.0,4,0,0,1,0,1,0,0,1,1,0,0,0,9,65,4,3,3,2,61,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,45,,0,45,0,0,0,0,0,,0,0,0,0,0
2018,6,SF,REG,GB,16,23,245,2,1,2,-18,0,0,181,111,8,9.623562916385081,0.612401184828385,0,30,174,1,0,0,9,6.779195652939296,0,16,23,245,2,1,1,181,111,8,7.206392054998387,0,0,43,6,12,7,33,0,3.0,20.0,7,0,0,1,0,0,0,0,0,0,0,0,0,2,10,3,1,0,5,138,3,3,0,0,46,1.0,0,0,0,3,0,0,0,0,0,0,0,0,46;44;43,,,133,0,0,3,3,0,0,1.0,0,0,0,0,0
2018,7,SF,REG,LA,15,27,170,1,2,7,-49,1,1,229,100,8,-23.402593992971504,-8.03501550798063,0,24,107,0,2,1,9,-4.761715687811375,0,15,27,170,1,0,0,229,100,8,-7.115589057910256,0,0,44,8,12,5,26,0,1.0,9.0,3,0,0,2,0,0,0,0,1,2,0,0,0,2,10,2,1,6,1,21,1,1,0,0,51,1.0,0,0,0,0,1,0,0,0,0,0,0,0,51,,,51,0,0,1,1,0,0,1.0,0,0,0,0,0
2018,8,SF,REG,ARI,14,28,190,1,0,4,-30,0,0,240,102,9,-4.41158733228624,-16.861858191313566,0,31,107,0,0,0,5,-5.037026021058896,0,14,27,190,1,0,0,240,102,9,4.183922762955239,0,0,41,1,7,6,22,1,3.0,19.0,7,1,23,3,0,1,1,0,2,2,1,1,0,5,59,5,4,32,2,52,2,2,0,0,27,1.0,0,2,0,0,0,0,0,0,0,0,0,0,27;20,,,47,0,0,1,1,0,0,1.0,0,0,0,0,0
2018,9,SF,REG,LV,16,22,262,3,0,0,0,0,0,146,181,10,18.613880079083966,6.977132233706388,0,32,143,1,1,0,8,-2.68179819480268,0,16,22,262,3,0,0,146,181,10,18.613880079083966,0,0,43,2,4,7,30,2,7.0,33.0,10,0,0,1,0,0,0,0,1,2,0,0,0,3,23,3,2,6,0,0,2,2,0,0,39,1.0,0,1,1,0,0,0,0,0,0,0,0,0,39;25,,,64,0,0,4,4,0,0,1.0,0,0,0,0,0
2018,10,SF,REG,NYG,27,39,250,1,2,0,0,0,0,276,94,14,-0.2636233604561029,8.718722888401576,0,29,124,1,0,0,7,-1.0192709784023464,0,27,35,250,1,0,0,276,94,14,2.2987140266060404,0,0,34,5,15,5,10,0,1.0,8.0,4,0,0,7,0,0,0,0,0,0,0,0,0,10,97,6,2,24,0,0,3,3,0,0,53,1.0,0,0,2,0,1,0,0,0,0,0,0,0,53;36;30,,,119,0,0,2,2,0,0,1.0,0,0,0,0,0
