season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2001,1,STL,REG,PHI,28,42,308,1,2,4,-26,1,0,52,308,18,,,0,23,82,1,0,0,4,,0,28,42,308,1,0,0,52,0,18,,0,0,59,0,6,9,44,1,5.0,35.0,5,1,1,8,0,0,0,0,4,4,2,2,0,7,45,6,3,15,4,73,2,2,0,0,26,1.0,0,2,0,0,0,0,0,0,0,0,0,0,20;26,,,46,0,0,2,2,0,0,1.0,1,1,0,0,26
2001,2,STL,REG,SF,24,35,321,3,1,1,-11,1,1,11,321,13,,,1,25,115,0,0,0,10,,0,24,35,321,3,1,1,11,0,13,,1,0,39,12,12,2,11,0,1.0,5.0,1,1,30,7,0,0,0,0,0,0,0,0,0,8,92,3,3,47,3,78,3,3,0,0,44,1.0,0,1,0,2,0,0,0,0,0,0,0,0,44;40;25,,,109,0,0,1,1,0,0,1.0,0,0,0,0,0
2001,3,STL,REG,LA,24,31,328,4,0,1,-10,1,0,0,328,17,,,0,27,123,2,0,0,7,,0,24,31,328,4,0,0,0,0,17,,0,0,45,8,8,6,17,3,2.0,15.0,1,2,-3,4,0,0,0,0,1,1,2,2,0,9,59,5,2,7,3,73,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,6,6,0,0,1.0,0,0,0,0,0
2001,4,STL,REG,DET,29,37,291,3,0,1,-7,0,0,0,291,17,,,0,21,94,1,1,0,8,,0,29,36,291,3,2,1,0,0,17,,0,0,48,5,9,6,24,2,6.0,33.0,5,2,93,4,0,0,0,0,1,2,1,1,0,3,15,4,2,13,1,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2001,5,STL,REG,NYG,28,46,316,0,1,6,-42,1,1,37,316,14,,,0,16,41,1,2,2,1,,0,28,46,316,0,0,0,37,0,14,,0,0,41,10,10,6,19,0,3.0,15.0,3,2,19,4,0,0,0,0,0,0,0,0,0,12,89,5,4,43,3,56,3,3,0,0,33,1.0,0,2,1,0,0,0,0,0,0,0,0,0,28;33;25,,,86,0,0,0,0,0,0,,0,0,0,0,0
2001,6,STL,REG,NYJ,19,28,225,1,0,4,-11,0,0,0,225,12,,,0,34,234,2,1,1,9,,0,19,27,225,1,1,1,0,0,12,,0,0,24,18,18,3,16,0,1.0,8.0,1,1,42,1,0,0,0,0,0,0,0,0,0,4,33,4,3,32,1,18,2,2,0,0,47,1.0,0,1,0,1,0,0,0,0,0,0,0,0,47;24,,,71,0,0,4,4,0,0,1.0,0,0,0,0,0
2001,7,STL,REG,LA,30,48,436,2,4,2,-10,0,0,74,436,20,,,0,16,48,2,1,1,4,,0,30,48,436,2,2,1,74,0,20,,0,0,51,11,11,9,40,3,4.0,16.0,4,0,0,5,0,0,0,0,1,1,2,2,0,8,58,5,2,1,9,172,1,2,1,0,54,0.5,0,0,0,0,1,0,0,0,0,1,0,0,54,40,,54,40,0,4,4,0,0,1.0,0,0,0,0,0
2001,9,STL,REG,LA,16,22,156,1,3,0,0,0,0,77,156,8,,,0,41,337,4,1,0,12,,0,16,22,156,1,1,0,77,0,8,,0,0,33,11,11,4,19,1,1.0,11.0,1,2,31,6,0,0,0,0,2,2,1,1,0,7,48,3,3,31,3,64,2,2,0,0,35,1.0,0,1,1,0,0,0,0,0,0,0,0,0,25;35,,,60,0,0,6,6,0,0,1.0,0,0,0,0,0
2001,10,STL,REG,LA,30,42,401,3,2,1,-5,0,0,11,401,19,,,0,28,86,0,2,1,8,,0,30,41,401,3,0,0,11,0,19,,0,0,20,26,26,3,10,1,2.0,6.0,2,2,18,3,0,0,0,0,1,3,1,1,0,5,36,5,2,1,4,86,1,2,1,0,35,0.5,0,0,1,0,0,0,0,0,0,1,0,0,35,42,,35,42,0,3,3,0,0,1.0,0,0,0,0,0
2001,11,STL,REG,LA,19,39,291,1,2,3,-22,1,1,29,291,14,,,0,19,76,0,3,2,6,,1,19,38,291,1,0,0,29,0,14,,0,0,50,10,10,8,27,0,2.0,12.0,2,1,25,4,0,0,0,0,1,3,0,0,0,5,41,6,4,42,5,71,3,3,0,0,44,1.0,0,1,0,2,0,0,0,0,0,0,0,0,44;42;24,,,110,0,0,0,0,0,0,,0,0,0,0,0
