season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2005,1,TB,REG,MIN,18,29,213,2,2,2,-14,0,0,0,213,9,-2.36898998497054,,0,31,146,1,0,0,4,-2.481823068177203,0,18,0,213,2,1,0,0,0,9,18.708812643773854,0,0,42,3,5,0,0,3,2.0,11.0,0,3,16,5,0,0,0,0,0,0,2,2,0,13,99,3,3,27,4,83,1,1,0,0,41,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,3,3,0,0,1.0,0,0,0,0,0
2005,2,TB,REG,BUF,16,22,136,0,0,1,-9,0,0,0,136,7,1.6803567210154142,,0,40,191,2,0,0,11,3.516219982245315,0,16,0,136,0,0,0,0,0,7,7.74332300023525,0,0,31,6,8,0,0,0,2.0,12.0,0,0,0,7,0,0,1,0,0,0,0,0,0,13,99,2,3,50,3,49,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1.0,0,0,0,0,0
2005,3,TB,REG,GB,17,26,139,2,1,2,-7,1,0,0,139,9,-1.788192918721517,,0,41,161,0,0,0,9,-1.5177235319279134,0,17,0,139,2,0,0,0,0,9,13.259436910972,0,0,30,8,26,0,0,1,2.0,10.0,0,3,29,6,0,0,0,0,1,1,1,1,0,8,103,5,2,23,4,68,1,1,0,0,42,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,2,2,0,0,1.0,0,0,0,0,0
2005,4,TB,REG,DET,22,39,302,2,3,3,-18,1,1,0,302,11,-5.28675042108944,,0,22,69,0,0,0,3,-4.02791459846776,0,22,0,302,2,0,0,0,0,11,21.86612552403921,0,0,33,16,20,0,0,1,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,55,3,3,15,2,29,1,2,1,0,43,0.5,0,0,0,1,0,0,0,0,0,1,0,0,43,46,,43,46,0,2,2,0,0,1.0,0,0,0,0,0
2005,5,TB,REG,NYJ,27,42,226,0,1,3,-25,0,0,0,226,12,-8.094956760142662,,0,26,84,0,0,0,4,-2.659564693398394,0,27,0,226,0,1,0,0,0,12,10.912881592742139,0,0,35,11,11,0,0,0,2.0,13.0,0,1,0,4,0,1,0,0,2,2,2,2,0,12,87,5,4,18,2,21,4,4,0,0,43,1.0,0,0,3,1,0,0,0,0,0,0,0,0,35;36;43;30,,,144,0,0,0,0,0,0,,0,0,0,0,0
2005,6,TB,REG,MIA,18,26,189,1,0,3,-27,0,0,0,189,11,7.7169644186108,,0,34,180,1,1,1,4,-6.972160357399844,0,18,0,189,1,0,0,0,0,11,18.43142370734131,0,0,38,12,16,0,0,2,4.0,24.0,0,0,0,10,0,0,0,0,0,0,2,2,1,9,65,5,3,20,1,23,2,2,0,0,36,1.0,0,0,2,0,0,0,0,0,0,0,0,0,36;32,,,68,0,0,3,3,0,0,1.0,0,0,0,0,0
2005,8,TB,REG,SF,21,34,264,1,2,5,-32,1,1,0,264,10,-8.381601532808185,,0,20,43,0,0,0,1,-7.1138436971232295,0,21,0,264,1,0,0,0,0,10,17.844251371596563,0,0,46,5,17,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,65,4,5,29,4,84,1,2,1,0,47,0.5,0,0,0,1,0,0,0,0,0,0,1,0,47,52,,47,52,0,1,1,0,0,1.0,0,0,0,0,0
2005,9,TB,REG,CAR,25,42,259,1,2,5,-33,1,1,0,259,14,-13.07960572646698,,0,18,44,1,1,1,2,-9.90483139990829,0,25,0,259,1,0,0,0,0,14,19.23562145413598,0,0,34,12,16,0,0,1,1.0,6.0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,42,3,3,45,7,155,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2005,10,TB,REG,WAS,15,29,279,3,0,0,0,0,0,0,279,13,15.32731625600718,,0,27,61,2,1,1,4,-7.679051418512128,1,15,0,279,3,0,0,0,0,13,28.57247153390199,0,0,54,7,11,0,0,2,2.0,22.0,0,2,34,8,0,0,0,0,0,0,1,1,0,2,15,5,1,4,6,121,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2005,11,TB,REG,ATL,11,19,118,0,1,0,0,0,0,0,118,6,0.7681795426678226,,0,27,140,2,0,0,7,6.209288991649293,0,11,0,118,0,0,0,0,0,6,8.079413643040354,0,0,58,6,6,0,0,2,3.0,13.0,0,0,0,3,0,0,0,0,0,0,2,2,1,8,55,5,1,2,4,66,3,3,0,0,45,1.0,0,0,1,2,0,0,0,0,0,0,0,0,31;45;45,,,121,0,0,3,3,0,0,1.0,1,1,0,0,45
