season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2020,1,TEN,REG,DEN,29,43,249,2,0,1,-2,0,0,266,96,17,9.900781189791775,5.2987683564424515,0,34,130,0,0,0,6,-1.7286265338480007,0,29,40,249,2,0,0,266,96,17,12.512774266828234,0,0,40,0,16,5,13,2,0.0,0.0,5,0,0,2,0,0,0,0,0,0,1,1,0,5,37,4,3,19,1,19,1,4,2,1,25,0.25,0,1,0,0,0,0,0,0,0,2,0,0,25,47;42,44,25,89,44,1,2,1,0,0.5,1,1,0,0,25
2020,2,TEN,REG,JAX,18,24,239,4,0,1,-8,0,0,191,89,12,18.033543104105057,8.738362292448679,0,34,123,0,0,0,7,-4.23860552336555,0,18,24,239,4,0,0,191,89,12,20.86063456585108,0,0,38,10,24,4,28,0,2.0,24.0,5,2,44,11,0,0,0,0,0,0,0,0,0,4,30,2,1,0,4,54,2,2,0,0,51,1.0,0,0,0,1,1,0,0,0,0,0,0,0,51;49,,,100,0,0,3,4,1,0,0.75,0,0,0,0,0
2020,3,TEN,REG,MIN,23,37,321,0,1,2,-11,1,0,363,88,13,-2.0129698612376754,3.654222416155266,0,34,134,2,1,0,11,2.515750448219478,0,23,33,321,0,0,0,363,88,13,4.3555087841674,0,0,41,0,16,4,18,1,2.0,13.0,11,2,8,8,0,0,0,0,2,3,1,1,0,4,45,2,2,5,1,30,6,6,0,0,55,1.0,0,0,3,0,3,0,0,0,0,0,0,0,39;31;30;51;54;55,,,260,0,0,1,1,0,0,1.0,0,0,0,0,0
2020,5,TEN,REG,BUF,21,28,195,3,0,0,0,0,0,181,69,14,13.888818340899888,8.385337676320757,0,34,139,3,0,0,9,3.9182849941716995,0,21,28,195,3,0,0,181,69,14,13.888818340899888,0,0,45,5,13,3,19,2,1.0,10.0,3,2,97,7,0,0,0,0,0,0,1,1,0,6,46,3,2,40,2,35,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,6,6,0,0,1.0,0,0,0,0,0
2020,6,TEN,REG,HOU,30,41,366,4,1,2,-22,1,1,309,158,20,17.398502710002067,5.272560512147298,1,27,263,2,0,0,9,11.856415001026049,0,30,41,366,4,0,0,309,158,20,24.906591868395044,1,0,37,14,22,4,17,0,2.0,15.0,6,0,0,2,0,0,0,0,0,0,0,0,0,7,73,4,3,20,3,63,0,2,1,1,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,37,27,0,37,27,4,4,0,0,1.0,0,0,0,0,0
2020,7,TEN,REG,PIT,18,31,220,2,0,2,-10,0,0,265,108,8,4.9127086013076555,-4.908812244733174,0,23,82,1,0,0,5,-2.6966455568326637,0,18,30,220,2,0,0,265,108,8,8.949517210688043,0,0,45,8,16,3,6,2,0.0,0.0,5,3,18,11,0,0,0,0,1,1,0,0,0,7,73,3,1,5,3,43,1,2,1,0,51,0.5,0,0,0,0,1,0,0,0,0,1,0,0,51,45,,51,45,0,3,3,0,0,1.0,0,0,0,0,0
2020,8,TEN,REG,CIN,18,30,233,2,1,1,-10,0,0,271,74,13,-0.7333273606082754,0.45365537035054176,0,29,218,1,0,0,12,15.113390685524791,0,18,29,233,2,0,0,271,74,13,2.1125632432930774,0,0,41,2,32,1,3,0,0.0,0.0,2,0,0,4,0,0,0,0,0,0,0,0,0,7,68,6,1,3,2,30,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,,53,,0,53,0,2,2,0,0,1.0,0,0,0,0,0
2020,9,TEN,REG,CHI,10,21,158,2,0,3,-22,0,0,215,78,7,-1.0480872218752815,-16.920687896864756,0,31,92,0,0,0,4,-5.351033756625839,0,10,21,158,2,0,0,215,78,7,3.3579403604241485,0,0,48,2,30,4,18,2,3.0,16.0,10,0,0,7,0,0,0,0,0,0,2,2,1,6,57,1,3,49,2,37,1,1,0,0,40,1.0,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,3,3,0,0,1.0,0,0,0,0,0
2020,10,TEN,REG,IND,15,27,147,1,0,1,-10,0,0,197,76,9,-4.442844853185228,-10.787366165055168,0,32,157,1,0,0,10,0.5340049758960959,0,15,27,147,1,0,0,197,76,9,-1.5398596331087122,0,0,42,7,27,3,16,0,1.0,11.0,2,0,0,4,0,0,0,0,0,0,0,0,0,3,30,0,1,2,2,60,1,2,1,0,50,0.5,0,0,0,0,1,0,0,0,0,1,0,0,50,44,,50,44,0,2,2,0,0,1.0,0,0,0,0,0
2020,11,TEN,REG,BAL,23,32,266,2,1,2,-16,2,0,200,139,16,11.484102182088263,8.034423645585775,0,34,173,1,0,0,9,-0.4476640240026173,1,23,32,266,2,0,0,200,139,16,14.781929248097894,0,0,41,0,24,2,12,0,1.0,9.0,2,1,6,6,0,0,0,0,2,3,0,0,0,4,44,2,0,0,3,47,3,3,0,0,40,1.0,0,1,0,2,0,0,0,0,0,0,0,0,40;40;22,,,102,0,0,1,1,0,0,1.0,0,0,0,0,0
2020,12,TEN,REG,IND,13,22,221,1,0,1,-1,0,0,153,118,9,10.559170681575779,-7.509794980287552,0,45,229,4,0,0,16,7.180105988896685,0,13,20,221,1,0,0,153,118,9,12.715539611293934,0,1,33,7,11,2,15,0,2.0,15.0,6,1,0,5,0,0,0,0,0,0,0,0,0,9,63,3,4,52,2,60,1,1,0,0,49,1.0,0,0,0,1,0,0,0,0,0,0,0,0,49,,,49,0,0,6,6,0,0,1.0,0,0,0,0,0
2020,13,TEN,REG,CLE,29,45,389,3,1,3,-20,0,0,487,132,18,14.052290666528279,5.833856974329267,0,18,62,1,2,1,5,-9.445907198765548,1,29,42,389,3,2,1,487,132,18,19.66729824585491,0,0,40,11,27,2,2,1,0.0,0.0,1,0,0,3,0,0,0,0,2,3,1,1,1,5,52,6,0,0,4,83,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2020,14,TEN,REG,JAX,19,24,212,2,0,1,-7,0,0,197,73,11,9.56726584911055,19.086562680161517,0,40,249,2,0,0,12,8.180803501367336,0,19,23,212,2,1,1,197,73,11,7.242216805943167,0,0,40,0,14,3,10,0,0.0,0.0,1,1,11,5,0,0,0,0,0,0,0,0,0,7,78,1,2,13,0,0,1,1,0,0,53,1.0,0,0,0,0,1,0,0,0,0,0,0,0,53,,,53,0,0,4,4,0,0,1.0,0,0,0,0,0
2020,15,TEN,REG,DET,21,27,273,3,0,1,-5,0,0,246,131,17,23.807680954288454,15.422773705079006,0,38,195,3,0,0,10,7.844404900577618,1,21,26,273,3,0,0,246,131,17,25.452897242333503,0,0,33,15,31,1,7,2,0.0,0.0,5,1,0,3,0,0,0,0,0,0,2,2,0,3,22,3,0,0,2,45,1,1,0,0,38,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,5,5,0,0,1.0,0,0,0,0,0
2020,16,TEN,REG,GB,11,26,121,1,2,2,-17,1,0,212,38,9,-9.784851903270464,-19.561912298202515,0,27,156,1,0,0,6,3.8589190308121033,0,11,25,121,1,0,0,212,38,9,-6.770036818052176,0,0,36,7,27,5,25,0,1.0,17.0,2,1,3,1,0,0,0,0,1,1,0,0,0,3,15,2,0,0,6,145,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
